Time,Value,Error,abs_error
D1.0,0.00308819,0.12,0.0003705828
D2.0,0.00308728,0.12,0.0003704736
D3.0,0.00308032,0.12,0.0003696384
D4.0,0.00299836,0.12,0.00035980319999999997
D5.0,0.00286071,0.12,0.0003432852
D6.0,2.82674e-07,0.12,3.392088e-08
