Time,Value,Error,abs_error
D1.0,530.792,0.0004,0.21231680000000003
D2.0,530.421,0.0004,0.21216840000000003
D3.0,527.594,0.0004,0.21103760000000002
D4.0,494.937,0.0004,0.1979748
D5.0,442.786,0.0004,0.1771144
D6.0,1.43529e-07,0.0004,5.74116e-11
