Time,Value,Error,abs_error
D1.0,0.000197149,0.0311,6.1313339e-06
D2.0,0.000197146,0.0311,6.131240600000001e-06
D3.0,0.000197125,0.0311,6.1305875e-06
D4.0,0.00019688,0.0311,6.122968e-06
D5.0,0.000196454,0.0311,6.1097194e-06
D6.0,0.000128371,0.0311,3.9923381000000004e-06
