Time,Value,Error,abs_error
D1.0,0.169105,0.015,0.002536575
D2.0,0.169055,0.015,0.0025358250000000002
D3.0,0.168675,0.015,0.002530125
D4.0,0.164186,0.015,0.00246279
D5.0,0.156649,0.015,0.002349735
D6.0,1.54789e-05,0.015,2.3218349999999997e-07
