Time,Value,Error,abs_error
D1.0,6.96759,0.0023,0.016025457
D2.0,6.91273,0.0023,0.015899279
D3.0,6.50765,0.0023,0.014967595
D4.0,3.16094,0.0023,0.007270162
D5.0,0.898123,0.0023,0.0020656829
D6.0,0.0,0.0,0.0
