Time,Value,Error,abs_error
D1.0,1.97225e-08,1.0,1.97225e-08
D2.0,1.97213e-08,1.0,1.97213e-08
D3.0,1.97126e-08,1.0,1.97126e-08
D4.0,1.96084e-08,1.0,1.96084e-08
D5.0,1.94282e-08,1.0,1.94282e-08
D6.0,3.17426e-09,1.0,3.17426e-09
