Time,Value,Error,abs_error
D1.0,1878.56,0.0001,0.187856
D2.0,1878.53,0.0001,0.18785300000000002
D3.0,1878.29,0.0001,0.187829
D4.0,1875.51,0.0001,0.187551
D5.0,1870.67,0.0001,0.187067
D6.0,1126.31,0.0001,0.112631
