Time,Value,Error,abs_error
D1.0,7743.97,0.0001,0.7743970000000001
D2.0,7743.15,0.0001,0.774315
D3.0,7736.86,0.0001,0.773686
D4.0,7662.01,0.0001,0.766201
D5.0,7533.32,0.0001,0.753332
D6.0,271.258,0.0001,0.0271258
