Time,Value,Error,abs_error
D1.0,716.005,0.0002,0.143201
D2.0,714.292,0.0002,0.14285840000000002
D3.0,701.341,0.0002,0.1402682
D4.0,563.511,0.0002,0.1127022
D5.0,384.869,0.0002,0.07697380000000001
D6.0,1.23212e-30,0.0002,2.46424e-34
