User,Time,Value,Error,abs_error
0.0,D1.0,0.0,0.0,0.0
0.0,D2.0,0.0,0.0,0.0
0.0,D3.0,0.0,0.0,0.0
0.0,D4.0,0.0,0.0,0.0
0.0,D5.0,0.0,0.0,0.0
0.0,D6.0,0.0,0.0,0.0
-11023.0,D1.0,0.0238455,0.0196,0.00046737179999999996
-11023.0,D2.0,0.0209755,0.0197,0.00041321735
-11023.0,D3.0,0.00789648,0.0217,0.00017135361600000002
-11023.0,D4.0,7.90897e-05,0.9992,7.902642823999999e-05
-11023.0,D5.0,7.79739e-05,1.0,7.79739e-05
-11023.0,D6.0,5.58432e-06,1.0,5.58432e-06
-12024.0,D1.0,0.00963416,0.1909,0.0018391611439999998
-12024.0,D2.0,0.00847071,0.1909,0.0016170585389999998
-12024.0,D3.0,0.00316878,0.1909,0.0006049201019999999
-12024.0,D4.0,2.47995e-08,0.1909,4.73422455e-09
-12024.0,D5.0,3.13449e-17,0.1909,5.98374141e-18
-12024.0,D6.0,0.0,0.0,0.0
-12025.0,D1.0,0.0,0.0,0.0
-12025.0,D2.0,0.0,0.0,0.0
-12025.0,D3.0,0.0,0.0,0.0
-12025.0,D4.0,0.0,0.0,0.0
-12025.0,D5.0,0.0,0.0,0.0
-12025.0,D6.0,0.0,0.0,0.0
-13027.0,D1.0,0.207872,0.0224,0.0046563328
-13027.0,D2.0,0.0181228,0.1477,0.00267673756
-13027.0,D3.0,0.00677951,0.1477,0.001001333627
-13027.0,D4.0,5.30579e-08,0.1477,7.83665183e-09
-13027.0,D5.0,6.70615e-17,0.1477,9.90498355e-18
-13027.0,D6.0,0.0,0.0,0.0
-14028.0,D1.0,0.321323,0.0981,0.03152178630000001
-14028.0,D2.0,1.31541e-23,0.0981,1.29041721e-24
-14028.0,D3.0,0.0,0.0,0.0
-14028.0,D4.0,0.0,0.0,0.0
-14028.0,D5.0,0.0,0.0,0.0
-14028.0,D6.0,0.0,0.0,0.0
-14030.0,D1.0,0.0,0.0,0.0
-14030.0,D2.0,0.0,0.0,0.0
-14030.0,D3.0,0.0,0.0,0.0
-14030.0,D4.0,0.0,0.0,0.0
-14030.0,D5.0,0.0,0.0,0.0
-14030.0,D6.0,0.0,0.0,0.0
-15031.0,D1.0,0.390771,0.0932,0.0364198572
-15031.0,D2.0,1.59971e-23,0.0932,1.4909297200000002e-24
-15031.0,D3.0,0.0,0.0,0.0
-15031.0,D4.0,0.0,0.0,0.0
-15031.0,D5.0,0.0,0.0,0.0
-15031.0,D6.0,0.0,0.0,0.0
-19041.0,D1.0,0.00037285,0.1265,4.7165524999999996e-05
-19041.0,D2.0,0.000319059,0.1265,4.03609635e-05
-19041.0,D3.0,9.70343e-05,0.1265,1.227483895e-05
-19041.0,D4.0,6.38596e-11,0.1265,8.078239400000001e-12
-19041.0,D5.0,1.0796e-21,0.1265,1.365694e-22
-19041.0,D6.0,0.0,0.0,0.0
-20040.0,D1.0,0.0,0.0,0.0
-20040.0,D2.0,0.0,0.0,0.0
-20040.0,D3.0,0.0,0.0,0.0
-20040.0,D4.0,0.0,0.0,0.0
-20040.0,D5.0,0.0,0.0,0.0
-20040.0,D6.0,0.0,0.0,0.0
-20042.0,D1.0,8.55205e-08,1.0,8.55205e-08
-20042.0,D2.0,7.31825e-08,1.0,7.31825e-08
-20042.0,D3.0,2.22567e-08,1.0,2.22567e-08
-20042.0,D4.0,1.46475e-14,1.0,1.46475e-14
-20042.0,D5.0,2.47628e-25,1.0,2.47628e-25
-20042.0,D6.0,0.0,0.0,0.0
-20043.0,D1.0,0.0,0.0,0.0
-20043.0,D2.0,0.0,0.0,0.0
-20043.0,D3.0,0.0,0.0,0.0
-20043.0,D4.0,0.0,0.0,0.0
-20043.0,D5.0,0.0,0.0,0.0
-20043.0,D6.0,0.0,0.0,0.0
-20044.0,D1.0,0.0,0.0,0.0
-20044.0,D2.0,0.0,0.0,0.0
-20044.0,D3.0,0.0,0.0,0.0
-20044.0,D4.0,0.0,0.0,0.0
-20044.0,D5.0,0.0,0.0,0.0
-20044.0,D6.0,0.0,0.0,0.0
-20046.0,D1.0,0.0,0.0,0.0
-20046.0,D2.0,0.0,0.0,0.0
-20046.0,D3.0,0.0,0.0,0.0
-20046.0,D4.0,0.0,0.0,0.0
-20046.0,D5.0,0.0,0.0,0.0
-20046.0,D6.0,0.0,0.0,0.0
-20048.0,D1.0,0.0,0.0,0.0
-20048.0,D2.0,0.0,0.0,0.0
-20048.0,D3.0,0.0,0.0,0.0
-20048.0,D4.0,0.0,0.0,0.0
-20048.0,D5.0,0.0,0.0,0.0
-20048.0,D6.0,0.0,0.0,0.0
-22046.0,D1.0,0.000118862,0.2191,2.60426642e-05
-22046.0,D2.0,0.000118748,0.2191,2.6017686799999998e-05
-22046.0,D3.0,0.000117883,0.2191,2.5828165299999997e-05
-22046.0,D4.0,0.000108009,0.2191,2.36647719e-05
-22046.0,D5.0,9.27381e-05,0.2191,2.0318917709999997e-05
-22046.0,D6.0,9.46627e-18,0.2191,2.0740597569999996e-18
-22047.0,D1.0,4.45891e-08,1.0,4.45891e-08
-22047.0,D2.0,4.35343e-08,1.0,4.35343e-08
-22047.0,D3.0,3.62576e-08,1.0,3.62576e-08
-22047.0,D4.0,4.06938e-09,1.0,4.06938e-09
-22047.0,D5.0,9.00168e-11,1.0,9.00168e-11
-22047.0,D6.0,0.0,0.0,0.0
-22048.0,D1.0,0.00183589,0.3805,0.000698556145
-22048.0,D2.0,0.00175671,0.3805,0.000668428155
-22048.0,D3.0,0.00125432,0.3805,0.00047726876
-22048.0,D4.0,2.23379e-05,0.3805,8.499570949999999e-06
-22048.0,D5.0,1.99836e-08,0.3805,7.603759800000001e-09
-22048.0,D6.0,0.0,0.0,0.0
-22049.0,D1.0,0.0,0.0,0.0
-22049.0,D2.0,0.0,0.0,0.0
-22049.0,D3.0,0.0,0.0,0.0
-22049.0,D4.0,0.0,0.0,0.0
-22049.0,D5.0,0.0,0.0,0.0
-22049.0,D6.0,0.0,0.0,0.0
-24050.0,D1.0,2.14973e-06,0.4839,1.040254347e-06
-24050.0,D2.0,2.14352e-06,0.4839,1.037249328e-06
-24050.0,D3.0,2.09661e-06,0.4839,1.014549579e-06
-24050.0,D4.0,1.60921e-06,0.4839,7.78696719e-07
-24050.0,D5.0,1.01481e-06,0.4839,4.910665590000001e-07
-24050.0,D6.0,5.1797e-46,0.4839,2.50645683e-46
-24052.0,D1.0,0.0169715,0.5215,0.00885063725
-24052.0,D2.0,6.7879e-16,0.5215,3.53988985e-16
-24052.0,D3.0,0.0,0.0,0.0
-24052.0,D4.0,0.0,0.0,0.0
-24052.0,D5.0,0.0,0.0,0.0
-24052.0,D6.0,0.0,0.0,0.0
-24053.0,D1.0,2.39994e-05,0.3223,7.735006619999999e-06
-24053.0,D2.0,2.57431e-36,0.3223,8.29700113e-37
-24053.0,D3.0,0.0,0.0,0.0
-24053.0,D4.0,0.0,0.0,0.0
-24053.0,D5.0,0.0,0.0,0.0
-24053.0,D6.0,0.0,0.0,0.0
-24054.0,D1.0,0.0,0.0,0.0
-24054.0,D2.0,0.0,0.0,0.0
-24054.0,D3.0,0.0,0.0,0.0
-24054.0,D4.0,0.0,0.0,0.0
-24054.0,D5.0,0.0,0.0,0.0
-24054.0,D6.0,0.0,0.0,0.0
-25055.0,D1.0,0.0345359,0.098,0.0033845182
-25055.0,D2.0,0.0143507,0.0218,0.00031284526
-25055.0,D3.0,0.000475201,0.4605,0.00021883006050000002
-25055.0,D4.0,0.000418509,0.5107,0.00021373254630000004
-25055.0,D5.0,0.000401731,0.5107,0.0002051640217
-25055.0,D6.0,1.30929e-07,0.5107,6.68654403e-08
-26054.0,D1.0,0.000300799,0.3394,0.00010209118059999998
-26054.0,D2.0,0.000300722,0.3394,0.0001020650468
-26054.0,D3.0,0.000300131,0.3394,0.00010186446139999998
-26054.0,D4.0,0.000293158,0.3394,9.949782519999999e-05
-26054.0,D5.0,0.000281397,0.3394,9.55061418e-05
-26054.0,D6.0,9.17044e-08,0.3394,3.112447336e-08
-26056.0,D1.0,0.00689299,0.2458,0.001694296942
-26056.0,D2.0,0.00327037,0.2458,0.0008038569459999999
-26056.0,D3.0,1.09822e-05,0.2458,2.69942476e-06
-26056.0,D4.0,2.86689e-35,0.2458,7.046815619999999e-36
-26056.0,D5.0,8.06983e-87,0.2458,1.9835642139999998e-87
-26056.0,D6.0,0.0,0.0,0.0
-26057.0,D1.0,0.0,0.0,0.0
-26057.0,D2.0,0.0,0.0,0.0
-26057.0,D3.0,0.0,0.0,0.0
-26057.0,D4.0,0.0,0.0,0.0
-26057.0,D5.0,0.0,0.0,0.0
-26057.0,D6.0,0.0,0.0,0.0
-26058.0,D1.0,9.36479e-05,0.1742,1.631346418e-05
-26058.0,D2.0,9.34792e-05,0.1742,1.628407664e-05
-26058.0,D3.0,9.22003e-05,0.1742,1.606129226e-05
-26058.0,D4.0,7.81978e-05,0.1742,1.362205676e-05
-26058.0,D5.0,5.86862e-05,0.1742,1.022313604e-05
-26058.0,D6.0,2.02283e-29,0.1742,3.52376986e-30
-27059.0,D1.0,0.033533,0.0241,0.0008081453
-27059.0,D2.0,0.0332007,0.0217,0.00072045519
-27059.0,D3.0,0.0328737,0.0209,0.00068706033
-27059.0,D4.0,0.0325103,0.019,0.0006176956999999999
-27059.0,D5.0,0.0319488,0.0163,0.0005207654399999999
-27059.0,D6.0,0.00828037,0.008,6.624296e-05
-28058.0,D1.0,0.00635487,0.1135,0.000721277745
-28058.0,D2.0,0.00634768,0.1135,0.00072046168
-28058.0,D3.0,0.00629302,0.1135,0.00071425777
-28058.0,D4.0,0.00567472,0.1135,0.00064408072
-28058.0,D5.0,0.00473891,0.1135,0.000537866285
-28058.0,D6.0,2.07508e-18,0.1135,2.3552158e-19
-28060.0,D1.0,0.000576422,0.3872,0.0002231905984
-28060.0,D2.0,0.000576398,0.3872,0.00022318130559999998
-28060.0,D3.0,0.000576214,0.3872,0.00022311006080000001
-28060.0,D4.0,0.000574025,0.3872,0.00022226248000000001
-28060.0,D5.0,0.000570229,0.3872,0.00022079266879999998
-28060.0,D6.0,0.000155125,0.3872,6.0064399999999994e-05
-28061.0,D1.0,0.0,0.0,0.0
-28061.0,D2.0,0.0,0.0,0.0
-28061.0,D3.0,0.0,0.0,0.0
-28061.0,D4.0,0.0,0.0,0.0
-28061.0,D5.0,0.0,0.0,0.0
-28061.0,D6.0,0.0,0.0,0.0
