Time,Value,Error,abs_error
D1.0,0.147663,0.0062,0.0009155105999999999
D2.0,0.0700586,0.0062,0.00043436331999999997
D3.0,0.000235263,0.0062,1.4586306e-06
D4.0,6.14151e-34,0.0062,3.8077362e-36
D5.0,1.72874e-85,0.0062,1.0718187999999998e-87
D6.0,0.0,0.0,0.0
