Cor A,Value,Error
830.0,5.11237e-10,0.000443748
833.26,0.0,0.0
836.52,0.0,0.0
839.78,0.0,0.0
843.04,0.0,0.0
846.29,0.0,0.0
849.55,0.0,0.0
852.81,2.47558e-08,0.000275916
856.07,2.29345e-08,0.000549933
859.33,1.32094e-08,0.000484501
862.59,1.04934e-08,0.000467648
865.85,8.87595e-09,0.000475306
869.11,7.67315e-09,0.00049341
872.37,6.71787e-09,0.000518208
875.63,5.9177e-09,0.000547215
878.88,5.23589e-09,0.000578765
882.14,4.64831e-09,0.000614237
885.4,4.1399e-09,0.000654609
888.66,3.70332e-09,0.00070198
891.92,3.33679e-09,0.00075971
895.18,3.04554e-09,0.00083267
898.44,2.84475e-09,0.000934138
901.7,2.77256e-09,0.00108545
904.96,1.59625e-09,0.00125763
908.22,1.66309e-10,0.00126345
911.47,1.3349e-10,0.00126687
914.73,1.09991e-10,0.00127357
917.99,9.2269e-11,0.00128218
921.25,3.43711e-11,0.0013979
924.51,1.75134e-11,0.00152834
927.77,1.67282e-11,0.00153346
931.03,1.59513e-11,0.00153273
934.29,1.52105e-11,0.00154297
937.55,1.4518e-11,0.00154714
940.81,1.3837e-11,0.00154613
944.06,1.31916e-11,0.00154972
947.32,3.18904e-11,0.00156874
950.58,5.89789e-11,0.00155224
953.84,4.21575e-11,0.00151629
957.1,2.69585e-10,0.00120314
960.36,1.30572e-10,0.00135755
963.62,4.7681e-11,0.00174737
966.88,1.80998e-11,0.00240708
970.14,7.21343e-12,0.00356352
973.39,3.1619e-12,0.00545227
976.65,1.48505e-12,0.00808721
979.91,7.51972e-13,0.0111986
983.17,4.19378e-13,0.0142884
986.43,2.53697e-13,0.0169208
989.69,1.60447e-13,0.0189257
992.95,8.16332e-14,0.0204986
996.21,5.82585e-14,0.0213115
999.47,4.13822e-14,0.021953
1002.73,3.21219e-14,0.0224471
1005.98,2.27631e-14,0.0229996
1009.24,1.49123e-14,0.0235417
1012.5,9.7223e-15,0.0240232
1015.76,5.43026e-15,0.0245075
1019.02,3.91457e-15,0.0247392
1022.28,2.76341e-15,0.0249815
1025.54,2.99183e-15,0.0251329
1028.8,1.65201e-15,0.0255757
1032.06,1.05937e-15,0.0258638
1035.32,8.22081e-16,0.0260508
1038.57,7.20786e-16,0.0262052
1041.83,3.61271e-16,0.0265514
1045.09,3.04069e-16,0.0266686
1048.35,2.37577e-16,0.0268366
1051.61,1.94469e-16,0.026997
1054.87,8.95421e-17,0.027279
1058.13,5.81915e-17,0.0274138
1061.39,3.74108e-17,0.0275313
1064.65,2.57462e-17,0.0276154
1067.91,1.76328e-17,0.027714
1071.16,1.20551e-17,0.0278176
1074.42,8.25502e-18,0.0279126
1077.68,6.30315e-18,0.0279707
1080.94,1.52741e-18,0.0285631
1084.2,8.86366e-19,0.0286558
