Cor A,Value,Error
830.0,5.10645e-07,0.000341098
833.26,7.77273e-07,0.000421668
836.52,7.74351e-07,0.000420757
839.78,7.7211e-07,0.000421278
843.04,7.70324e-07,0.00042157
846.29,7.68943e-07,0.000422855
849.55,7.68642e-07,0.000424478
852.81,7.05662e-07,0.000316141
856.07,5.70318e-07,0.000337067
859.33,5.08175e-07,0.000361193
862.59,4.57731e-07,0.000385338
865.85,4.11729e-07,0.000411142
869.11,3.69208e-07,0.000438117
872.37,3.30128e-07,0.000466453
875.63,2.94218e-07,0.00049672
878.88,2.61722e-07,0.000528352
882.14,2.32323e-07,0.000562479
885.4,2.05809e-07,0.000599908
888.66,1.82176e-07,0.000641963
891.92,1.61295e-07,0.000689918
895.18,1.43132e-07,0.000746177
898.44,1.278e-07,0.000817649
901.7,1.15567e-07,0.000910895
904.96,1.07273e-07,0.000980013
908.22,9.76889e-08,0.000958717
911.47,8.92133e-08,0.000980166
914.73,8.19418e-08,0.00100792
917.99,7.53886e-08,0.00104176
921.25,7.03946e-08,0.00107955
924.51,6.8283e-08,0.00108279
927.77,6.6361e-08,0.00108557
931.03,6.44591e-08,0.00108998
934.29,6.26112e-08,0.00109601
937.55,6.07578e-08,0.00110264
940.81,5.8888e-08,0.00111022
944.06,5.70613e-08,0.00112002
947.32,5.47095e-08,0.00111458
950.58,4.45334e-08,0.00107285
953.84,3.23906e-08,0.00106798
957.1,2.52796e-08,0.00106086
960.36,1.52113e-08,0.00108202
963.62,6.80669e-09,0.00115495
966.88,2.71931e-09,0.00127005
970.14,1.01547e-09,0.00144346
973.39,3.68978e-10,0.00170895
976.65,1.34159e-10,0.00213759
979.91,5.03915e-11,0.00287366
983.17,2.00923e-11,0.0041522
986.43,8.74267e-12,0.00619409
989.69,4.21912e-12,0.0089509
992.95,2.14732e-12,0.0122523
996.21,1.28191e-12,0.0149831
999.47,8.27112e-13,0.0170511
1002.73,5.51009e-13,0.0186433
1005.98,3.70432e-13,0.0198985
1009.24,2.4947e-13,0.0209011
1012.5,1.68075e-13,0.0217096
1015.76,1.13144e-13,0.0223769
1019.02,7.62585e-14,0.0229157
1022.28,5.13199e-14,0.0233718
1025.54,3.85088e-14,0.0236915
1028.8,2.54028e-14,0.0240924
1032.06,1.63733e-14,0.0245073
1035.32,1.12974e-14,0.0248764
1038.57,7.836e-15,0.0252097
1041.83,5.32336e-15,0.0255221
1045.09,3.92213e-15,0.0257554
1048.35,2.93588e-15,0.0259946
1051.61,2.15952e-15,0.0262571
1054.87,1.44533e-15,0.0265396
1058.13,1.04279e-15,0.0267572
1061.39,7.7924e-16,0.0268951
1064.65,5.73056e-16,0.027005
1067.91,4.13149e-16,0.0271193
1071.16,2.94231e-16,0.027247
1074.42,2.08604e-16,0.0273616
1077.68,1.4727e-16,0.0274641
1080.94,9.0447e-17,0.0275519
1084.2,4.76035e-17,0.0276238
