Cor A,Value,Error
830.0,2.50049e-07,0.000448711
833.26,3.88585e-07,0.00063538
836.52,3.89523e-07,0.000637008
839.78,3.90539e-07,0.000638148
843.04,3.91629e-07,0.000641822
846.29,3.92949e-07,0.000641502
849.55,3.94466e-07,0.00064981
852.81,3.51932e-07,0.000403434
856.07,1.08133e-07,0.000409867
859.33,3.70577e-08,0.000657129
862.59,2.14005e-08,0.000867529
865.85,1.41479e-08,0.00106699
869.11,9.9806e-09,0.00126879
872.37,7.2214e-09,0.00147897
875.63,5.3384e-09,0.00170586
878.88,3.97998e-09,0.00195767
882.14,2.98417e-09,0.00222512
885.4,2.26712e-09,0.00252862
888.66,1.72808e-09,0.00285534
891.92,1.32498e-09,0.00322883
895.18,1.02039e-09,0.00361799
898.44,8.12352e-10,0.0040209
901.7,7.55678e-10,0.00415463
904.96,2.05224e-09,0.0024657
908.22,3.67199e-09,0.0020254
911.47,3.82301e-09,0.0019776
914.73,3.79723e-09,0.00198668
917.99,3.82107e-09,0.00200319
921.25,4.01687e-09,0.00215285
924.51,4.09283e-09,0.00214287
927.77,4.14084e-09,0.00211861
931.03,4.1855e-09,0.00210006
934.29,4.22749e-09,0.00208323
937.55,4.25404e-09,0.00206103
940.81,4.30581e-09,0.00204524
944.06,4.35271e-09,0.00202453
947.32,4.43204e-09,0.00185703
950.58,5.07045e-09,0.0014185
953.84,7.49017e-09,0.00126898
957.1,1.21963e-08,0.00123257
960.36,1.25113e-08,0.00118193
963.62,1.01368e-08,0.00116513
966.88,7.1388e-09,0.0011629
970.14,4.71722e-09,0.00116909
973.39,3.05076e-09,0.00118065
976.65,1.96801e-09,0.00119605
979.91,1.28045e-09,0.00121418
983.17,8.4382e-10,0.00123432
986.43,5.63152e-10,0.00125572
989.69,3.79718e-10,0.00127804
992.95,2.37764e-10,0.00130522
996.21,1.47937e-10,0.00133615
999.47,9.24695e-11,0.00136927
1002.73,5.79046e-11,0.00140475
1005.98,3.59814e-11,0.00144299
1009.24,2.24478e-11,0.00148264
1012.5,1.4105e-11,0.00152346
1015.76,8.98485e-12,0.00156435
1019.02,5.82056e-12,0.00160627
1022.28,3.77497e-12,0.0016521
1025.54,2.77889e-12,0.00169058
1028.8,2.0444e-12,0.00172038
1032.06,1.53489e-12,0.00174243
1035.32,1.15013e-12,0.00176492
1038.57,8.2866e-13,0.00178985
1041.83,5.8432e-13,0.00181473
1045.09,4.62276e-13,0.0018308
1048.35,3.68621e-13,0.00184573
1051.61,2.79665e-13,0.00186196
1054.87,1.92865e-13,0.00188046
1058.13,1.14578e-13,0.00191324
1061.39,6.85163e-14,0.00195262
1064.65,4.09864e-14,0.00199916
1067.91,2.45349e-14,0.00205255
1071.16,1.47006e-14,0.00211266
1074.42,8.81773e-15,0.00217693
1077.68,5.40342e-15,0.00222983
1080.94,2.77056e-15,0.00226801
1084.2,1.25303e-15,0.00229502
