Cor A,Value,Error
830.0,1.1278e-09,0.000353642
833.26,0.0,0.0
836.52,0.0,0.0
839.78,0.0,0.0
843.04,0.0,0.0
846.29,0.0,0.0
849.55,0.0,0.0
852.81,6.28656e-08,0.000473123
856.07,5.71761e-08,0.00051131
859.33,2.06451e-08,0.000720212
862.59,1.12517e-08,0.000919422
865.85,7.34331e-09,0.00111543
869.11,5.14592e-09,0.00132275
872.37,3.73224e-09,0.00153391
875.63,2.75332e-09,0.00176514
878.88,2.05618e-09,0.00201795
882.14,1.54278e-09,0.00230424
885.4,1.16848e-09,0.00261383
888.66,8.89472e-10,0.00296574
891.92,6.81688e-10,0.00332886
895.18,5.27008e-10,0.00374255
898.44,4.26662e-10,0.00416642
901.7,4.15439e-10,0.004606
904.96,5.9782e-10,0.00362845
908.22,5.41943e-10,0.00256442
911.47,5.72396e-10,0.00250928
914.73,5.82472e-10,0.00251661
917.99,6.01143e-10,0.00251428
921.25,2.71424e-10,0.00267196
924.51,1.58267e-10,0.0027113
927.77,1.60645e-10,0.00267033
931.03,1.62767e-10,0.00264456
934.29,1.64532e-10,0.00258742
937.55,1.66749e-10,0.00255015
940.81,1.69378e-10,0.00253598
944.06,1.72584e-10,0.00250245
947.32,4.91439e-10,0.00199946
950.58,1.41036e-09,0.00159228
953.84,2.38615e-09,0.00140325
957.1,2.06669e-09,0.00135648
960.36,2.01571e-09,0.00124102
963.62,1.51619e-09,0.0012135
966.88,9.7966e-10,0.00120933
970.14,6.0098e-10,0.00121808
973.39,3.3995e-10,0.00123326
976.65,2.09643e-10,0.00125001
979.91,1.41416e-10,0.0012683
983.17,9.67006e-11,0.00128797
986.43,6.69449e-11,0.00130853
989.69,4.96756e-11,0.00133045
992.95,4.8822e-11,0.00135979
996.21,2.79105e-11,0.00139555
999.47,1.61897e-11,0.00143277
1002.73,8.40644e-12,0.00146895
1005.98,4.91843e-12,0.00150168
1009.24,3.29011e-12,0.00153446
1012.5,2.22322e-12,0.0015686
1015.76,1.81925e-12,0.0016088
1019.02,1.09321e-12,0.00165555
1022.28,6.60495e-13,0.00170698
1025.54,1.07296e-13,0.001726
1028.8,2.21921e-13,0.00176205
1032.06,2.2011e-13,0.00178912
1035.32,1.36403e-13,0.00181351
1038.57,4.13969e-14,0.0018189
1041.83,8.79055e-14,0.00184956
1045.09,5.03712e-14,0.00187124
1048.35,3.19259e-14,0.0018868
1051.61,1.38239e-14,0.00188822
1054.87,3.73477e-14,0.00191628
1058.13,2.39018e-14,0.0019435
1061.39,1.49186e-14,0.00198015
1064.65,8.71509e-15,0.00202566
1067.91,5.09647e-15,0.0020785
1071.16,2.98297e-15,0.00213843
1074.42,1.74715e-15,0.00220228
1077.68,9.60788e-16,0.00224896
1080.94,8.01274e-16,0.00226911
1084.2,3.68088e-16,0.00228884
