Energy,Value,Error,Offset
5 - 10,141.84445073056426,0.00313020562661638,20 cm
10 - 20,346.3903278563837,0.0029819350153648247,20 cm
20 - 30,491.5949686520369,0.0033981710719949276,20 cm
30 - 40,549.903061619486,0.0039388724685432445,20 cm
40 - 50,744.7397800675707,0.0035913245971979954,20 cm
5 - 10,10.796197487525234,0.011144438770848296,40 cm
10 - 20,28.29724998528332,0.010277463020618442,40 cm
20 - 30,37.81705806751381,0.0121468739470736,40 cm
30 - 40,43.57211764991402,0.013940609752702313,40 cm
40 - 50,29.314538397773774,0.018150829566121306,40 cm
