Energy,Value,Error,Offset
5 - 10,330.8491828529464,0.0019186379733547691,on-axis
10 - 20,953.070895267348,0.0018209953469519083,on-axis
20 - 30,1593.339938468366,0.0019470136012446069,on-axis
30 - 40,3096.7233247818954,0.001751879521358253,on-axis
40 - 50,8609.322271934798,0.0011894298521230324,on-axis
5 - 10,107.16594577624419,0.00319858587564707,20 cm
10 - 20,232.5744176405385,0.003461260859993061,20 cm
20 - 30,338.02542215116773,0.004048096280850052,20 cm
30 - 40,718.2176372237299,0.00361843958831005,20 cm
40 - 50,908.4816273554669,0.003506500766601511,20 cm
5 - 10,25.231081278798683,0.006389466744016399,40 cm
10 - 20,49.40834201870387,0.0072835814024826764,40 cm
20 - 30,65.93575210865852,0.008884597313730562,40 cm
30 - 40,141.10959783169284,0.00799796471255016,40 cm
40 - 50,78.44566801040065,0.011548272912048045,40 cm
