Energy,Value,Error,Offset
4.0,0.0006432740675908826,0.0015,on-axis
5.0,0.06408834096156701,0.0016,on-axis
6.0,0.062040935799946295,0.0016,on-axis
7.0,0.06398343498097189,0.0017,on-axis
8.0,0.05374249349873174,0.0017,on-axis
9.0,0.05365602919623416,0.0018,on-axis
10.0,0.05515994263803984,0.0018,on-axis
11.0,0.0569781739070182,0.0019,on-axis
12.0,0.050971955087305364,0.0019,on-axis
13.0,0.05647847419702702,0.0019,on-axis
14.0,0.058654013511307494,0.002,on-axis
15.0,0.05903073625179186,0.0019,on-axis
16.0,0.06094391273106298,0.002,on-axis
17.0,0.06437400981760885,0.002,on-axis
18.0,0.06551843811632556,0.0021,on-axis
19.0,0.06621387073147321,0.0021,on-axis
20.0,0.06758953663232552,0.0022,on-axis
21.0,0.06852200759952716,0.0022,on-axis
22.0,0.07297912422569236,0.0022,on-axis
23.0,0.07937143087133655,0.0022,on-axis
24.0,0.08430292541408577,0.0022,on-axis
25.0,0.0892166108687536,0.0022,on-axis
26.0,0.09474279535605838,0.0022,on-axis
27.0,0.10155105174872603,0.0022,on-axis
28.0,0.11592557329782599,0.0022,on-axis
29.0,0.13199418046717068,0.0022,on-axis
30.0,0.14962235500384496,0.0021,on-axis
31.0,0.1708426431652495,0.0022,on-axis
32.0,0.19137509008392006,0.0022,on-axis
33.0,0.18949742238952139,0.0022,on-axis
34.0,0.16111599963742212,0.0024,on-axis
35.0,0.14989855878404965,0.0025,on-axis
36.0,0.1839829127835575,0.0024,on-axis
37.0,0.287828659053266,0.0022,on-axis
38.0,0.5137833003341731,0.002,on-axis
39.0,0.8565652883099416,0.0018,on-axis
40.0,1.0467612368513437,0.0018,on-axis
41.0,0.7715505975835436,0.0023,on-axis
42.0,0.2769688023325815,0.0039,on-axis
43.0,0.03994110212021438,0.0094,on-axis
44.0,0.0035429015607858477,0.0373,on-axis
