Value,Error,Energy,Offset
11.991368385945933,0.0012750623971421228,5 - 10,20 cm
37.114637554386796,0.0017660522618523726,10 - 20,20 cm
58.82652173867028,0.0024033169027028096,20 - 30,20 cm
96.52803311755969,0.0029977894893317776,30 - 40,20 cm
171.326791175611,0.0027933518578434407,40 - 50,20 cm
1.6973164200576156,0.0014,5 - 10,40 cm
4.986853433589866,0.0015788918210535604,10 - 20,40 cm
7.687955302702209,0.0021154824866023506,20 - 30,40 cm
12.904374152138953,0.002517232380350832,30 - 40,40 cm
13.85982944928171,0.002715240672077153,40 - 50,40 cm
