Cells,Energy,Value,Error
291.97,0.1,13004.5,0.0037
291.97,1.0,721939.0,0.0031
291.97,5.0,294072.0,0.0033
291.97,10.0,152734.0,0.0037
291.97,20.0,172.834,0.0659
296.44,0.1,16024.7,0.0035
296.44,1.0,887539.0,0.0029
296.44,5.0,362561.0,0.0031
296.44,10.0,187775.0,0.0034
296.44,20.0,207.795,0.0557
300.91,0.1,22605.6,0.0036
300.91,1.0,1254560.0,0.0028
300.91,5.0,511404.0,0.003
300.91,10.0,265376.0,0.0034
300.91,20.0,297.287,0.0601
305.38,0.1,34135.4,0.0032
305.38,1.0,1893000.0,0.0027
305.38,5.0,771540.0,0.0029
305.38,10.0,398914.0,0.0032
305.38,20.0,478.88,0.0537
309.85,0.1,52659.4,0.0033
309.85,1.0,2919970.0,0.0026
309.85,5.0,1191840.0,0.0028
309.85,10.0,615243.0,0.0031
309.85,20.0,730.307,0.0552
314.32,0.1,81560.9,0.003
314.32,1.0,4521940.0,0.0025
314.32,5.0,1845820.0,0.0027
314.32,10.0,947026.0,0.0029
314.32,20.0,1204.92,0.0479
318.79,0.1,125781.0,0.003
318.79,1.0,6976370.0,0.0024
318.79,5.0,2856440.0,0.0026
318.79,10.0,1455310.0,0.0029
318.79,20.0,1823.05,0.0468
323.26,0.1,192911.0,0.0028
323.26,1.0,10684000.0,0.0024
323.26,5.0,4372150.0,0.0025
323.26,10.0,2216870.0,0.0027
323.26,20.0,2872.65,0.0419
327.73,0.1,291974.0,0.0028
327.73,1.0,16231100.0,0.0023
327.73,5.0,6644780.0,0.0025
327.73,10.0,3342870.0,0.0027
327.73,20.0,4284.99,0.043
332.2,0.1,438012.0,0.0026
332.2,1.0,24374300.0,0.0022
332.2,5.0,10003500.0,0.0024
332.2,10.0,4974960.0,0.0026
332.2,20.0,6934.31,0.0386
336.67,0.1,650166.0,0.0027
336.67,1.0,36202000.0,0.0022
336.67,5.0,14899400.0,0.0023
336.67,10.0,7299340.0,0.0026
336.67,20.0,10047.6,0.0398
341.14,0.1,951633.0,0.0025
341.14,1.0,53123100.0,0.0021
341.14,5.0,21918300.0,0.0023
341.14,10.0,10559500.0,0.0024
341.14,20.0,13811.8,0.0362
345.61,0.1,1368420.0,0.0026
345.61,1.0,76965700.0,0.0021
345.61,5.0,31897900.0,0.0022
345.61,10.0,14940100.0,0.0025
345.61,20.0,21746.1,0.0371
350.08,0.1,1942490.0,0.0024
350.08,1.0,110054000.0,0.002
350.08,5.0,45835500.0,0.0022
350.08,10.0,20668600.0,0.0024
350.08,20.0,33657.7,0.0332
354.55,0.1,2725470.0,0.0025
354.55,1.0,155440000.0,0.002
354.55,5.0,65331500.0,0.0021
354.55,10.0,28027400.0,0.0024
354.55,20.0,44571.6,0.0361
359.02,0.1,3763330.0,0.0023
359.02,1.0,217753000.0,0.0019
359.02,5.0,92365300.0,0.0021
359.02,10.0,36778900.0,0.0023
359.02,20.0,66487.3,0.0327
363.49,0.1,5163610.0,0.0024
363.49,1.0,304400000.0,0.0019
363.49,5.0,130797000.0,0.002
363.49,10.0,46958100.0,0.0024
363.49,20.0,96188.6,0.0355
367.96,0.1,7113810.0,0.0022
367.96,1.0,429823000.0,0.0018
367.96,5.0,187975000.0,0.0019
367.96,10.0,59006800.0,0.0023
367.96,20.0,145333.0,0.0314
372.43,0.1,10030700.0,0.0022
372.43,1.0,623511000.0,0.0017
372.43,5.0,281403000.0,0.0018
372.43,10.0,75351400.0,0.0023
372.43,20.0,220320.0,0.0328
376.9,0.1,13660000.0,0.002
376.9,1.0,865627000.0,0.0015
376.9,5.0,445638000.0,0.0016
376.9,10.0,106162000.0,0.0021
376.9,20.0,311816.0,0.0295
377.0,0.1,39718400.0,0.0065
377.0,1.0,813094000.0,0.002
377.0,5.0,551657000.0,0.0018
377.0,10.0,130290000.0,0.0027
377.0,20.0,337885.0,0.0508
395.5,0.1,47854200.0,0.0014
395.5,1.0,807520000.0,0.0014
395.5,5.0,666199000.0,0.0014
395.5,10.0,175316000.0,0.0019
395.5,20.0,409273.0,0.0322
400.5,0.1,60327200.0,0.0013
400.5,1.0,4149200000.0,0.0011
400.5,5.0,1836160000.0,0.0012
400.5,10.0,654230000.0,0.0014
400.5,20.0,1549970.0,0.0188
406.6,0.1,334947000.0,0.0012
406.6,1.0,12832900000.0,0.001
406.6,5.0,5072110000.0,0.0011
406.6,10.0,2251160000.0,0.0012
406.6,20.0,5283190.0,0.0149
412.7,0.1,777739000.0,0.001
412.7,1.0,29191000000.0,0.0009
412.7,5.0,11367900000.0,0.001
412.7,10.0,5351790000.0,0.0011
412.7,20.0,12453800.0,0.0134
418.8,0.1,1726700000.0,0.001
418.8,1.0,64103600000.0,0.0008
418.8,5.0,24848500000.0,0.0009
418.8,10.0,12427100000.0,0.001
418.8,20.0,28240100.0,0.0123
424.9,0.1,3538770000.0,0.0009
424.9,1.0,129787000000.0,0.0008
424.9,5.0,50987600000.0,0.0008
424.9,10.0,26581500000.0,0.0009
424.9,20.0,60291000.0,0.0114
431.0,0.1,5523680000.0,0.0009
431.0,1.0,209762000000.0,0.0007
431.0,5.0,84913200000.0,0.0008
431.0,10.0,40454300000.0,0.0009
431.0,20.0,99059200.0,0.0119
436.0,0.1,4304520000.0,0.0009
436.0,1.0,302156000000.0,0.0007
436.0,5.0,134244000000.0,0.0007
436.0,10.0,42316000000.0,0.001
436.0,20.0,129382000.0,0.0142
447.9,0.1,26258700000.0,0.0006
447.9,1.0,1050330000000.0,0.0005
447.9,5.0,420611000000.0,0.0006
447.9,10.0,161852000000.0,0.0007
447.9,20.0,487913000.0,0.0096
451.0,0.1,194584000000.0,0.001
451.0,1.0,2154250000000.0,0.0005
451.0,5.0,868349000000.0,0.0006
451.0,10.0,354738000000.0,0.0008
451.0,20.0,1114810000.0,0.0135
455.2,0.1,82800200000.0,0.0006
455.2,1.0,3065430000000.0,0.0004
455.2,5.0,1247620000000.0,0.0005
455.2,10.0,525655000000.0,0.0006
455.2,20.0,1584070000.0,0.0085
458.2,0.1,393945000000.0,0.0009
458.2,1.0,4503590000000.0,0.0005
458.2,5.0,1823150000000.0,0.0006
458.2,10.0,713214000000.0,0.0008
458.2,20.0,2527030000.0,0.0125
465.2,0.1,199305000000.0,0.0004
465.2,1.0,7893950000000.0,0.0003
