Cells,Value,Error
47,0.113449,0.0003
45,0.0630386,0.0003
43,0.0365548,0.0003
41,0.0145974,0.0004
39,0.00466291,0.0005
37,0.00134898,0.0006
35,0.000419742,0.0008
33,0.000142048,0.001
26,1.16636e-06,0.0021
30,2.4678e-05,0.0014
29,1.14976e-05,0.0016
28,5.35064e-06,0.0017
27,2.49524e-06,0.0019
21,2.23065e-07,0.0025
55,0.177019,0.0001
57,0.100948,0.0001
59,0.0585951,0.0001
61,0.0230033,0.0002
63,0.00714115,0.0002
65,0.00200495,0.0003
67,0.00060815,0.0004
69,0.000200885,0.0005
72,3.57269e-05,0.0007
73,1.96957e-05,0.0008
74,1.08466e-05,0.0009
75,5.97373e-06,0.001
76,3.29276e-06,0.0011
77,1.81459e-06,0.0012
78,1.00099e-06,0.0013
79,5.51567e-07,0.0015
80,3.04418e-07,0.0016
81,1.68135e-07,0.0018
86,3.27046e-08,0.0024
