Cells,Value,Error
47,192.825,0.0002
45,114.978,0.0002
43,57.809,0.0003
41,21.1044,0.0003
39,7.5366,0.0004
37,2.3279,0.0005
35,1.00624,0.0006
33,0.257347,0.0007
26,0.00285166,0.0015
30,0.0808547,0.0009
29,0.0450668,0.0009
28,0.0176113,0.001
27,0.00690016,0.0012
21,0.000212773,0.0025
55,268.892,0.0001
57,166.178,0.0001
59,87.6651,0.0001
61,32.5154,0.0001
63,11.4198,0.0002
65,3.45158,0.0002
67,1.46291,0.0003
69,0.365391,0.0004
72,0.114029,0.0004
73,0.0804969,0.0004
74,0.0406033,0.0005
75,0.0190659,0.0006
76,0.00909821,0.0007
77,0.00450575,0.0008
78,0.00231211,0.0009
79,0.00122213,0.0011
80,0.000666465,0.0012
81,0.000353805,0.0014
86,3.0637e-05,0.0024
