Cells,Value,Error
47,7.7878,0.0003
45,4.44449,0.0003
43,2.77555,0.0003
41,1.25675,0.0003
39,0.446542,0.0004
37,0.142598,0.0005
35,0.0441916,0.0006
33,0.0170377,0.0008
26,0.000120397,0.0017
30,0.00341838,0.0009
29,0.00133859,0.0011
28,0.000570863,0.0013
27,0.000254426,0.0015
21,3.43323e-05,0.0019
55,11.7982,0.0001
57,6.95344,0.0001
59,4.35732,0.0001
61,1.95113,0.0001
63,0.678784,0.0002
65,0.211769,0.0002
67,0.064242,0.0003
69,0.0241151,0.0004
72,0.00511327,0.0005
73,0.0024132,0.0005
74,0.00121644,0.0006
75,0.000632979,0.0007
76,0.000336246,0.0008
77,0.000181015,0.0009
78,9.82754e-05,0.0011
79,5.37312e-05,0.0012
80,2.96401e-05,0.0013
81,1.70725e-05,0.0015
86,5.00535e-06,0.0017
