Cells,Value,Error
291.97,7.94114e-09,0.0032
296.44,9.79106e-09,0.003
300.91,1.38513e-08,0.0029
305.38,2.09049e-08,0.0028
309.85,3.23381e-08,0.0027
314.32,5.002e-08,0.0026
318.79,7.72891e-08,0.0025
323.26,1.18436e-07,0.0024
327.73,1.79912e-07,0.0024
332.2,2.70233e-07,0.0023
336.67,4.01448e-07,0.0022
341.14,5.88495e-07,0.0022
345.61,8.49795e-07,0.0021
350.08,1.20816e-06,0.0021
354.55,1.69517e-06,0.0021
359.02,2.33913e-06,0.002
363.49,3.19624e-06,0.002
367.96,4.37841e-06,0.0018
372.43,6.15218e-06,0.0017
376.9,9.00132e-06,0.0016
377.0,2.17088e-05,0.0017
395.5,2.61498e-05,0.0014
400.5,4.3099e-05,0.0012
406.6,0.000135427,0.0011
412.7,0.00031136,0.001
418.8,0.000705574,0.0009
424.9,0.00150274,0.0008
431.0,0.00254356,0.0008
436.0,0.00311047,0.0007
447.9,0.00996042,0.0005
451.0,0.0471382,0.0006
455.2,0.0307947,0.0005
458.2,0.110848,0.0005
465.2,0.0752443,0.0004
468.2,0.377145,0.0004
473.7,0.223662,0.0003
476.7,1.03469,0.0003
481.7,0.582665,0.0002
484.7,2.7065,0.0002
487.0,1.26635,0.0002
489.0,4.76094,0.0002
490.0,1.85837,0.0002
493.6,7.185,0.0002
493.7,2.25354,0.0003
494.2,2.29191,0.0002
495.0,5.43893,0.0002
1132.1,7.50299,0.0001
1132.6,2.81253,0.0002
1132.7,2.81757,0.0002
1136.3,10.4806,0.0001
1137.3,2.39012,0.0001
1139.3,7.04407,0.0001
1141.6,1.69298,0.0001
1144.6,4.04133,0.0001
1149.6,0.812229,0.0001
1152.6,1.54872,0.0001
1158.1,0.321171,0.0001
1161.1,0.559067,0.0002
1168.1,0.108692,0.0002
1171.1,0.161768,0.0002
1175.3,0.0443431,0.0002
1178.4,0.0676305,0.0003
1185.3,0.0141,0.0003
1227.8,0.00423782,0.0004
1232.49,0.00362635,0.0004
1237.18,0.00253907,0.0004
1241.87,0.00148063,0.0004
1246.56,0.000795841,0.0005
1251.25,0.000416862,0.0005
1255.94,0.000218103,0.0006
1260.63,0.000114911,0.0007
1265.32,6.11714e-05,0.0008
1270.01,3.29399e-05,0.0008
1274.7,1.75384e-05,0.001
1279.7,6.34532e-06,0.0011
1284.7,3.85806e-06,0.0012
1300.1,3.13173e-06,0.0015
1304.57,1.30079e-06,0.0015
1309.04,8.91819e-07,0.0016
1313.51,6.2996e-07,0.0018
1317.98,4.55752e-07,0.0018
1322.45,3.30729e-07,0.0019
1326.92,2.37982e-07,0.0019
1331.39,1.6833e-07,0.002
1335.86,1.1735e-07,0.002
1340.33,8.08407e-08,0.0021
1344.8,5.47929e-08,0.0021
1349.27,3.66151e-08,0.0022
1353.74,2.42035e-08,0.0023
1358.21,1.57922e-08,0.0024
1362.68,1.02119e-08,0.0024
1367.15,6.51949e-09,0.0026
1371.62,4.12378e-09,0.0026
1376.09,2.56789e-09,0.0028
1380.56,1.55284e-09,0.0029
1385.03,8.77946e-10,0.0031
1389.5,4.07526e-10,0.0034
