Cells,Value,Error
291.97,1.80815e-10,0.0047
296.44,2.30943e-10,0.0044
300.91,3.43972e-10,0.0041
305.38,5.48533e-10,0.0038
309.85,9.00126e-10,0.0036
314.32,1.48574e-09,0.0034
318.79,2.44592e-09,0.0033
323.26,4.02234e-09,0.0031
327.73,6.60618e-09,0.003
332.2,1.08012e-08,0.0028
336.67,1.76195e-08,0.0027
341.14,2.86106e-08,0.0026
345.61,4.62749e-08,0.0025
350.08,7.45546e-08,0.0024
354.55,1.19473e-07,0.0024
359.02,1.90703e-07,0.0023
363.49,3.03092e-07,0.0022
367.96,4.78993e-07,0.0022
372.43,7.54787e-07,0.0021
376.9,1.19379e-06,0.002
377.0,1.35413e-05,0.002
395.5,7.73829e-06,0.0017
400.5,2.3933e-06,0.0021
406.6,1.3589e-05,0.0017
412.7,2.87579e-05,0.0015
418.8,6.55847e-05,0.0013
424.9,0.000157734,0.0011
431.0,0.000412784,0.0009
436.0,0.000258365,0.0011
447.9,0.000399125,0.0009
451.0,0.0288338,0.0007
455.2,0.00116542,0.0007
458.2,0.073011,0.0006
465.2,0.00366614,0.0006
468.2,0.255617,0.0004
473.7,0.0123371,0.0004
476.7,0.720339,0.0004
481.7,0.0376682,0.0004
484.7,1.89308,0.0003
487.0,0.0935729,0.0003
489.0,3.42321,0.0003
490.0,0.162854,0.0003
493.6,5.54004,0.0002
493.7,0.29961,0.0003
494.2,0.282458,0.0003
495.0,4.12831,0.0002
1132.1,5.97403,0.0001
1132.6,0.434516,0.0001
1132.7,0.462714,0.0001
1136.3,8.45645,0.0001
1137.3,0.258601,0.0001
1139.3,5.33042,0.0001
1141.6,0.149471,0.0001
1144.6,2.94578,0.0001
1149.6,0.0592961,0.0002
1152.6,1.10284,0.0002
1158.1,0.0188825,0.0002
1161.1,0.383747,0.0002
1168.1,0.00544978,0.0003
1171.1,0.107159,0.0003
1175.3,0.00168998,0.0004
1178.4,0.0415184,0.0003
1185.3,0.000564189,0.0004
1227.8,0.000347384,0.0005
1232.49,0.000619553,0.0004
1237.18,0.000287475,0.0005
1241.87,0.000141789,0.0006
1246.56,7.24587e-05,0.0007
1251.25,3.79889e-05,0.0008
1255.94,2.02693e-05,0.0009
1260.63,1.09385e-05,0.001
1265.32,5.95924e-06,0.0011
1270.01,3.28694e-06,0.0013
1274.7,1.90788e-06,0.0014
1279.7,3.712e-07,0.0019
1284.7,1.11234e-06,0.0016
1300.1,1.94883e-06,0.0018
1304.57,1.73415e-07,0.0018
1309.04,1.09851e-07,0.0019
1313.51,6.9382e-08,0.002
1317.98,4.36033e-08,0.0021
1322.45,2.72975e-08,0.0021
1326.92,1.69802e-08,0.0022
1331.39,1.05118e-08,0.0023
1335.86,6.48112e-09,0.0024
1340.33,3.97812e-09,0.0025
1344.8,2.4312e-09,0.0027
1349.27,1.4798e-09,0.0028
1353.74,8.98008e-10,0.0029
1358.21,5.42536e-10,0.0031
1362.68,3.26813e-10,0.0033
1367.15,1.96131e-10,0.0035
1371.62,1.17006e-10,0.0037
1376.09,6.94155e-11,0.0039
1380.56,4.04953e-11,0.0041
1385.03,2.27645e-11,0.0045
1389.5,1.09143e-11,0.005
