Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,1.0234287224259788e-07,0.006428175766082886,0.01,0.1,41.8 deg
0.1 - 1,1.2581583667915682e-06,0.0018366956815553362,0.1,1.0,41.8 deg
1 - 3.5,1.0295704075202067e-06,0.0034442820732605572,1.0,3.5,41.8 deg
3.5 - 10,5.660703714772478e-08,0.029465101971848304,3.5,10.0,41.8 deg
10 - 20,1.1653830994009804e-07,0.038098127433138305,10.0,20.0,41.8 deg
