Energy,Value,Error,Angle
8.33985,1.9190981542076152e-07,0.0808,66.8 deg
8.76745,1.968513703055258e-07,0.0676,66.8 deg
9.21695,2.1060766568840292e-07,0.0659,66.8 deg
9.6895,2.161338583257277e-07,0.0687,66.8 deg
10.1863,1.895707574535466e-07,0.0493,66.8 deg
10.7085,1.814574725843091e-07,0.0661,66.8 deg
11.2575,1.2999523782162885e-07,0.079,66.8 deg
11.835,2.075253069461058e-07,0.0603,66.8 deg
12.442,1.5298339994400163e-07,0.0634,66.8 deg
13.0795,1.0930155641534237e-07,0.1469,66.8 deg
13.75,2.41203190996272e-07,0.056,66.8 deg
14.455,1.4787441188367854e-06,0.0273,66.8 deg
15.196,1.2688565734773233e-06,0.0344,66.8 deg
15.9755,2.7408609139284244e-07,0.0571,66.8 deg
16.7945,2.5476869637221753e-08,0.201,66.8 deg
17.6555,3.586394248412481e-09,0.1435,66.8 deg
18.561,3.6076592563649395e-10,0.1834,66.8 deg
19.5125,3.366172765643399e-11,0.4127,66.8 deg
20.464,1.028676429911417e-11,0.729,66.8 deg
