Value,Error,Energy,Angle
3.3299691672595596e-06,0.029906108205817242,0.01 - 0.1,66.8 deg
9.463866295140858e-06,0.02258940867872251,0.1 - 1,66.8 deg
1.480847181100319e-07,0.13647418139697745,1 - 3.5,66.8 deg
7.163752226289149e-09,0.6105650573217,3.5 - 10,66.8 deg
1.6546949161484961e-09,0.43346673538865954,10 - 20,66.8 deg
