Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,2.621342407003765e-07,0.003600375554593509,0.01,0.1,24.9 deg
0.1 - 1,3.099957878524517e-06,0.0010276067385612386,0.1,1.0,24.9 deg
1 - 3.5,2.0409008442122172e-06,0.0018967058244398923,1.0,3.5,24.9 deg
3.5 - 10,4.5257981224856394e-07,0.007568215168742071,3.5,10.0,24.9 deg
10 - 20,2.355333161250317e-06,0.005895850363012144,10.0,20.0,24.9 deg
