Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,2.658482042042747e-07,0.0036443283357635308,0.01,0.1,0 deg
0.1 - 1,3.5024913192299795e-06,0.0009411873920764074,0.1,1.0,0 deg
1 - 3.5,2.5838520784883564e-06,0.0015869602670276622,1.0,3.5,0 deg
3.5 - 10,6.110218912621212e-07,0.0063087865433150495,3.5,10.0,0 deg
10 - 20,2.8314024520659083e-05,0.0012553993244228746,10.0,20.0,0 deg
