Value,Error,Energy,Angle
3.0325929298332937e-06,0.044370211100216245,0.01 - 0.1,66.8 deg
3.661869010057878e-05,0.014422982240442079,0.1 - 1,66.8 deg
1.4807920386871574e-05,0.021508905882131817,1 - 3.5,66.8 deg
5.491390532970285e-07,0.17129519766628454,3.5 - 10,66.8 deg
3.304800730110653e-07,0.13272999246138098,10 - 20,66.8 deg
