Energy,Value,Error,Lower energy,Upper energy,Angle
0.1 - 1,6.775111611495324e-07,0.0033618843151810014,0.1,1.0,24.9 deg
1 - 3.5,4.390278399277521e-07,0.0026529417690847796,1.0,3.5,24.9 deg
3.5 - 10,6.23626359858474e-07,0.003770049055350322,3.5,10.0,24.9 deg
10 - 20,1.4149565959927902e-06,0.004794229415571018,10.0,20.0,24.9 deg
