Energy,Value,Error,Cells-Segments
15.0,0.0,0.0,24-1
16.0,0.0,0.0,24-1
20.0,0.0,0.0,24-1
1e-10,0.0,0.0,24-2
1e-09,0.0,0.0,24-2
1e-08,0.0,0.0,24-2
1e-07,2979950.0,0.7365,24-2
1e-06,55997100.0,0.328,24-2
1e-05,249289000.0,0.0952,24-2
0.0001,493223000.0,0.05,24-2
0.001,885345000.0,0.0452,24-2
0.01,1250210000.0,0.041,24-2
0.1,2973520000.0,0.0352,24-2
1.0,10194700000.0,0.0183,24-2
10.0,4153970000.0,0.016,24-2
13.0,180686000.0,0.0264,24-2
14.0,7422010000.0,0.0169,24-2
15.0,0.0,0.0,24-2
16.0,0.0,0.0,24-2
20.0,0.0,0.0,24-2
1e-10,0.0,0.0,24-3
1e-09,0.0,0.0,24-3
1e-08,0.0,0.0,24-3
1e-07,0.0,0.0,24-3
1e-06,30623100.0,0.2089,24-3
1e-05,170329000.0,0.0503,24-3
0.0001,404057000.0,0.0431,24-3
0.001,727276000.0,0.0436,24-3
0.01,1063140000.0,0.0433,24-3
0.1,2515790000.0,0.0402,24-3
1.0,7539010000.0,0.0443,24-3
10.0,3191710000.0,0.0848,24-3
13.0,108702000.0,0.1251,24-3
14.0,12868000000.0,0.138,24-3
15.0,0.0,0.0,24-3
16.0,0.0,0.0,24-3
20.0,0.0,0.0,24-3
1e-10,0.0,0.0,24-4
1e-09,0.0,0.0,24-4
1e-08,0.0,0.0,24-4
1e-07,1832.84,1.0,24-4
1e-06,2811560.0,0.0947,24-4
1e-05,36372200.0,0.0329,24-4
0.0001,114131000.0,0.032,24-4
0.001,228172000.0,0.0317,24-4
0.01,338631000.0,0.0315,24-4
0.1,809426000.0,0.0318,24-4
1.0,1590940000.0,0.0395,24-4
10.0,200490000.0,0.077,24-4
13.0,4736300.0,0.1027,24-4
14.0,26377900.0,0.1962,24-4
15.0,0.0,0.0,24-4
16.0,0.0,0.0,24-4
20.0,0.0,0.0,24-4
total,3352090000.0,0.0368,24-4
1e-10,0.0,0.0,25-1
1e-09,0.0,0.0,25-1
1e-08,0.0,0.0,25-1
1e-07,4318.68,0.3829,25-1
1e-06,991012.0,0.162,25-1
1e-05,10108700.0,0.084,25-1
0.0001,34848600.0,0.0886,25-1
0.001,75815300.0,0.0308,25-1
0.01,158641000.0,0.0194,25-1
0.1,1205090000.0,0.0139,25-1
1.0,11146700000.0,0.0112,25-1
10.0,5762780000.0,0.0138,25-1
13.0,289585000.0,0.0154,25-1
14.0,4533370000.0,0.0212,25-1
15.0,0.0,0.0,25-1
16.0,0.0,0.0,25-1
20.0,0.0,0.0,25-1
1e-10,0.0,0.0,25-2
1e-09,0.0,0.0,25-2
1e-08,10.7862,1.0,25-2
1e-07,2746.49,0.2052,25-2
1e-06,744080.0,0.0894,25-2
1e-05,7338540.0,0.0475,25-2
0.0001,22370900.0,0.038,25-2
0.001,48586700.0,0.0322,25-2
0.01,84109300.0,0.0267,25-2
0.1,554446000.0,0.0223,25-2
1.0,3946510000.0,0.0144,25-2
10.0,1589050000.0,0.0137,25-2
13.0,77873600.0,0.0135,25-2
14.0,1053440000.0,0.0146,25-2
15.0,0.0,0.0,25-2
16.0,0.0,0.0,25-2
20.0,0.0,0.0,25-2
1e-10,0.0,0.0,25-3
1e-09,0.0,0.0,25-3
1e-08,0.0,0.0,25-3
1e-07,755.17,0.4706,25-3
1e-06,375993.0,0.0442,25-3
1e-05,4835960.0,0.0397,25-3
0.0001,15381300.0,0.0395,25-3
0.001,32991700.0,0.0381,25-3
0.01,53820800.0,0.0381,25-3
0.1,320277000.0,0.0406,25-3
1.0,1816310000.0,0.0541,25-3
10.0,740090000.0,0.084,25-3
13.0,39267700.0,0.0889,25-3
14.0,1075130000.0,0.1185,25-3
15.0,0.0,0.0,25-3
16.0,0.0,0.0,25-3
20.0,0.0,0.0,25-3
1e-10,0.0,0.0,25-4
1e-09,0.0,0.0,25-4
1e-08,0.0,0.0,25-4
1e-07,111.481,0.3258,25-4
1e-06,113731.0,0.0344,25-4
1e-05,1583220.0,0.0326,25-4
0.0001,5303910.0,0.0324,25-4
0.001,11252400.0,0.0329,25-4
0.01,17229600.0,0.0338,25-4
0.1,92207500.0,0.036,25-4
1.0,341528000.0,0.0499,25-4
10.0,62183600.0,0.0829,25-4
13.0,2655310.0,0.0894,25-4
14.0,20463900.0,0.1063,25-4
15.0,0.0,0.0,25-4
16.0,0.0,0.0,25-4
20.0,0.0,0.0,25-4
total,554521000.0,0.0512,25-4
