Cells,Time,Value,Error
10,1.0,0.0168758,0.0176
10,2.0,0.0148054,0.019
11,1.0,0.0134667,0.0129
11,2.0,0.0118009,0.0128
12,1.0,0.00932412,0.0176
12,2.0,0.00817402,0.0175
13,1.0,0.00586068,0.0233
13,2.0,0.00514507,0.0232
