Time,Value,Error,Energy
0.0008130099999999999,0.00400685688,0.0014593041453376593,0.01 - 0.03
0.00020168999999999997,0.0038522138265000005,0.001316189735537435,0.03 - 0.06
8.054999999999999e-05,0.008964008820000001,0.0009437168251702329,0.06 - 0.1
4.118e-05,0.015043789215000002,0.000760881905410826,0.1 - 0.15
2.023e-05,0.016631031105,0.0007348665464753174,0.15 - 0.2
3.0239999999999995e-05,0.0823332744,0.00035361941045158884,0.2 - 0.4
6.660000000000001e-06,0.03812563755,0.0005309231180277809,0.4 - 0.5
6.450000000000001e-06,0.08609552640000001,0.0003737714279643286,0.5 - 0.7
5.450000000000001e-06,0.099410805,0.0003739979802124217,0.7 - 1
1.9e-06,0.04723184700000001,0.0005113868551258473,1 - 1.2
2.15e-06,0.0573618825,0.00047476073642926855,1.2 - 1.5
2.25e-06,0.068539419,0.00046850390244299267,1.5 - 2
9.9e-07,0.030776733,0.0007685372990392402,2 - 2.5
9.000000000000001e-07,0.027600417,0.0008464862389520357,2.5 - 3
1.06e-06,0.0313076205,0.0008926729429449447,3 - 4
3.4220000000000004e-06,0.0317581875,0.0010680042143234765,4 - 7
5.1750000000000004e-06,0.017606869605,0.0015478320141295396,7 - 10
2.8663000000000003e-05,0.44211527410635004,0.00033618580552436815,10 - 20
