Time,Value,Error
6.2767,0.0,0.0
6.31605,0.0,0.0
6.3554,0.0,0.0
6.39475,0.0,0.0
6.4341,0.0,0.0
6.47345,0.0,0.0
6.5128,0.0,0.0
6.55215,0.0,0.0
6.5915,0.0,0.0
6.63085,0.0,0.0
6.6702,1.91044e-16,0.1682
6.70955,3.10728e-13,0.0328
6.7489,3.68962e-11,0.0035
6.78825,3.56652e-10,0.0018
6.8276,6.56594e-10,0.0014
6.86695,3.40701e-10,0.0032
6.9063,2.06399e-10,0.0057
6.94565,1.52728e-10,0.0063
6.985,1.15498e-10,0.0107
7.02435,9.55689e-11,0.0178
7.0637,7.74366e-11,0.0068
7.10305,6.58094e-11,0.0108
7.1424,5.46517e-11,0.0089
7.18175,4.6716e-11,0.0112
7.2211,4.04363e-11,0.0117
7.26045,3.57356e-11,0.0134
7.2998,3.0868e-11,0.0136
7.33915,2.86403e-11,0.0176
7.3785,2.51333e-11,0.017
7.41785,2.3365e-11,0.0228
7.4572,2.11789e-11,0.0267
7.49655,2.02497e-11,0.035
7.5359,1.99179e-11,0.0432
7.57525,1.85819e-11,0.0389
7.6146,1.91484e-11,0.0473
7.81135,9.18515e-11,0.025
8.0081,9.27511e-11,0.0335
8.20485,9.71309e-11,0.0311
8.4016,9.88916e-11,0.0275
8.59835,8.69775e-11,0.0268
8.7951,7.57576e-11,0.022
8.99185,7.20558e-11,0.0226
9.1886,6.68513e-11,0.0263
9.38535,6.04453e-11,0.0261
9.5821,5.80766e-11,0.0218
9.77885,5.62042e-11,0.0272
9.9756,5.55475e-11,0.0215
10.1723,5.83016e-11,0.0284
10.3691,5.33659e-11,0.0198
10.5659,5.6083e-11,0.0265
10.7626,5.46023e-11,0.0195
10.9593,5.60448e-11,0.0199
11.1561,5.63925e-11,0.0183
11.3529,5.81417e-11,0.0163
11.5496,5.87623e-11,0.0168
11.7463,6.15911e-11,0.0219
11.9431,6.27828e-11,0.0201
12.1399,6.2868e-11,0.0152
12.3366,6.33669e-11,0.0176
12.5333,6.36693e-11,0.0183
12.7301,6.54988e-11,0.019
12.9269,6.5696e-11,0.0165
13.1236,6.87037e-11,0.0181
13.3204,7.12394e-11,0.0146
13.5171,7.28068e-11,0.0134
13.7138,7.60175e-11,0.0137
13.9106,7.79857e-11,0.0141
14.1073,8.3103e-11,0.0213
14.3041,8.09819e-11,0.0116
14.5009,8.38159e-11,0.0127
14.6976,8.90997e-11,0.0155
14.8944,9.26752e-11,0.0136
15.0911,9.54444e-11,0.0162
15.2879,9.64431e-11,0.0119
15.4846,9.90611e-11,0.0135
15.6813,1.0367e-10,0.0134
15.8781,1.0719e-10,0.0114
16.0749,1.1496e-10,0.0117
16.2716,1.22134e-10,0.0114
16.4683,1.27059e-10,0.0129
16.6651,1.27336e-10,0.0087
16.8619,1.29965e-10,0.0098
17.0586,1.31743e-10,0.0113
17.2553,1.33082e-10,0.0095
17.4521,1.38009e-10,0.0118
17.6489,1.37704e-10,0.009
17.8456,1.43663e-10,0.0087
18.0423,1.46265e-10,0.0088
18.2391,1.53333e-10,0.0099
18.4359,1.57576e-10,0.0082
18.6326,1.61728e-10,0.0088
18.8293,1.62993e-10,0.0074
19.0261,1.65467e-10,0.0077
19.2229,1.63242e-10,0.0079
19.4196,1.64498e-10,0.0085
19.6163,1.58494e-10,0.0079
19.8131,1.53659e-10,0.0076
20.0099,1.54816e-10,0.0084
20.2066,1.51148e-10,0.0095
20.4033,1.49562e-10,0.0087
20.6001,1.50105e-10,0.0093
20.7969,1.4719e-10,0.0088
20.9936,1.44562e-10,0.0083
21.1903,1.44887e-10,0.0087
21.3871,1.42636e-10,0.013
21.5839,1.41934e-10,0.0095
21.7806,1.38684e-10,0.0086
21.9773,1.40624e-10,0.01
22.1741,1.41116e-10,0.0074
22.3709,1.45236e-10,0.0094
22.5676,1.46133e-10,0.0079
22.7643,1.4395e-10,0.0071
22.9611,1.43117e-10,0.0083
23.1578,1.43126e-10,0.0085
23.3546,1.37975e-10,0.0084
23.5513,1.33873e-10,0.0087
23.7481,1.26943e-10,0.0079
23.9449,1.21298e-10,0.009
24.1416,1.15375e-10,0.0092
24.3383,1.09994e-10,0.0094
24.5351,1.04173e-10,0.0088
24.7318,9.98338e-11,0.0094
24.9286,9.43931e-11,0.0097
25.1254,8.86156e-11,0.0091
25.3221,8.31196e-11,0.0097
25.5189,7.95769e-11,0.0114
25.7156,7.31214e-11,0.011
25.9124,6.94668e-11,0.013
26.1091,6.44366e-11,0.0122
26.3058,5.94506e-11,0.0131
26.5026,5.49233e-11,0.0141
26.6993,5.0995e-11,0.0134
26.8961,4.62483e-11,0.0146
27.0929,4.32217e-11,0.0185
27.2896,4.02954e-11,0.0195
27.4863,3.58601e-11,0.0204
total,1.27921e-08,0.0015
