Segments,User,Value,Error,BLK n.
2,0.0,28869800000000.0,0.0007,1
2,1.0,6921400000000.0,0.0013,1
3,0.0,38887300000000.0,0.0005,2
3,1.0,7489010000000.0,0.0011,2
4,0.0,46272000000000.0,0.0005,3
4,1.0,8053400000000.0,0.001,3
5,0.0,46085800000000.0,0.0005,4
5,1.0,7957050000000.0,0.0009,4
6,0.0,38326600000000.0,0.0005,5
6,1.0,7247300000000.0,0.0011,5
7,0.0,28289600000000.0,0.0007,6
7,1.0,6432150000000.0,0.0011,6
2,0.0,22167400000000.0,0.0008,7
2,1.0,6078240000000.0,0.0015,7
2,0.0,21259600000000.0,0.0003,8
2,1.0,6505400000000.0,0.0013,8
2,0.0,22896900000000.0,0.0002,9
2,1.0,6899600000000.0,0.0014,9
2,0.0,27360700000000.0,0.0001,10
2,1.0,7368190000000.0,0.0011,10
2,0.0,33050100000000.0,0.0001,11
2,1.0,8642700000000.0,0.0009,11
2,0.0,37286700000000.0,0.0001,12
2,1.0,9498510000000.0,0.0009,12
2,0.0,40262300000000.0,0.0001,13
2,1.0,9975560000000.0,0.0009,13
2,0.0,43123400000000.0,0.0001,14
2,1.0,9552770000000.0,0.0008,14
2,0.0,43785600000000.0,0.0001,15
2,1.0,9708670000000.0,0.0008,15
2,0.0,41880600000000.0,0.0001,16
2,1.0,10212800000000.0,0.0009,16
2,0.0,38066300000000.0,0.0001,17
2,1.0,9555900000000.0,0.0009,17
2,0.0,32048300000000.0,0.0001,18
2,1.0,8505080000000.0,0.0009,18
