Cells,Value,Error,Components
75,159737.0,0.0005,PS1
157,9826.72,0.0017,PS2 FJ Y+
158,9130.16,0.0018,PS2 FJ Y-
159,284514.0,0.0004,PS2 Y+
160,280805.0,0.0004,PS2 Y-
161,341571.0,0.0003,PS3 EQ Y+
162,339543.0,0.0004,PS3 EQ Y-
163,8215.49,0.0019,PS4 FJ Y+
164,8031.09,0.0019,PS4 FJ Y-
166,48351.9,0.0009,PS4 LOW Y+/-
167,79391.7,0.0007,PS4 UP Y+
168,75701.0,0.0007,PS4 UP Y-
68,205033.0,0.0004,TRIANG SUPPORT
116,3.03121,0.0795,HOOK
134,1.83518,0.1514,G SUPPORT
135,3.80272,0.0719,GUSSETS
125,20.7854,0.036,SHIELD EVEN
126,7.31883,0.0517,SHIELD Y+
127,7.19888,0.0524,SHIELD Y-
Input 20,1247.44,0.005,UP Port ext and duct
Input 21,131.355,0.015,EQ Port ext and duct
