Cells,Value,Error,Cells n.
61,521797.0,0.0003,61
62,1049970.0,0.0002,62
63,1036790.0,0.0002,63
64,1034500.0,0.0002,64
65,1036670.0,0.0002,65
66,1036940.0,0.0002,66
67,516692.0,0.0003,67
