Cells,Value,Error,Components
Input 1,3.64639,0.0915,PF1
Input 2,15.6355,0.0446,PF2
Input 3,5.98858,0.0757,PF3
Input 4,7.38481,0.0664,PF4
Input 5,7.81509,0.0641,PF5
Input 6,5.84456,0.073,PF6
Input 7,1.27886,0.1234,PF3-4 SUPP
