Cells,Value,Error,Components
4,335381.0,0.0004,BM01_C03
5,671442.0,0.0003,BM01_C02
6,335865.0,0.0004,BM01_C01
7,446011.0,0.0003,BM02_C03
8,891900.0,0.0002,BM02_C02
9,446136.0,0.0003,BM02_C01
10,511994.0,0.0003,BM03_C03
11,1024590.0,0.0002,BM03_C02
12,512473.0,0.0003,BM03_C01
13,509896.0,0.0003,BM04_C03
14,1020600.0,0.0002,BM04_C02
15,510704.0,0.0003,BM04_C01
16,425255.0,0.0003,BM05_C03
17,850625.0,0.0002,BM05_C02
18,425219.0,0.0003,BM05_C01
19,341156.0,0.0004,BM06_C03
20,682807.0,0.0003,BM06_C02
21,341347.0,0.0004,BM06_C01
22,1075800.0,0.0002,7-8-9_-20deg
23,2155090.0,0.0002,7-8-9_cen
24,1077620.0,0.0002,7-8-9_+20deg
25,984734.0,0.0002,BM10_1
26,983926.0,0.0002,BM10_2
27,457485.0,0.0003,BM11_C01
28,996536.0,0.0002,BM11_S02
29,920366.0,0.0002,BM11_C02
30,998382.0,0.0002,BM11_S01
31,458651.0,0.0003,BM11_C01_2
32,450610.0,0.0003,BM12_C03
33,907448.0,0.0002,BM12_S02
34,899209.0,0.0002,BM12_C02
35,907579.0,0.0002,BM12_S01
36,450214.0,0.0003,BM12_C01
37,613738.0,0.0003,BM13_C03
38,1049890.0,0.0002,BM13_S02
39,1244670.0,0.0002,BM13_C02
40,1039940.0,0.0002,BM13_S01
41,612905.0,0.0003,BM13_C01
42,1253870.0,0.0002,BM14_S02
43,1261230.0,0.0002,BM14_S01
44,1276460.0,0.0002,BM15_S02
45,1271050.0,0.0002,BM15_S01
46,698055.0,0.0003,BM16_C03
47,1241000.0,0.0002,BM16_S02
48,1380320.0,0.0002,BM16_C02
49,1231250.0,0.0002,BM16_S01
50,696283.0,0.0003,BM16_C01
51,575359.0,0.0003,BM17_C03
52,1151350.0,0.0002,BM17_S02
53,1148730.0,0.0002,BM17_C02
54,1152090.0,0.0002,BM17_S01
55,574214.0,0.0003,BM17_C01
56,533060.0,0.0003,BM18_C03
57,1026470.0,0.0002,BM18_S02
58,1054640.0,0.0002,BM18_C02
59,1053080.0,0.0002,BM18_S01
60,530252.0,0.0003,BM18_C01
