Cells,Value,Error,Components
Input 1,20625.6,0.0009,UP Port ENV
Input 2,717003.0,0.0003,UP PP+PI
Input 3,4880380.0,0.0001,EQ PP+PI
85,8429.11,0.002,LOW PP CEN
Input 5,27.3895,0.0264,LOW PP LAT
