Cells,Value,Error,Components
Input 1,1197.77,0.0054,IB STR
Input 2,182.985,0.0139,IB TOP
Input 3,285.857,0.0108,OB TOP
Input 4,92.4061,0.0186,OB EQ
Input 5,125.966,0.0147,OB BOT
Input 6,87.882,0.0182,IB BOT
Input 7,11.9135,0.0517,G SUPP
