Value,Error,Energy
0.3001615189042061,0.0030804721801617387,0.1 - 1
1.3523467985340032,0.006222054612101497,1 - 3.5
0.4219768815338545,0.008957174602415631,3.5 - 10
0.0006320930373375545,0.08368208795827115,10 - 20
