Cor A,Value,Error
415.0,2.26028e-07,0.00045379
831.629,3.59298e-07,0.000654227
834.888,3.60252e-07,0.00065476
838.147,3.61325e-07,0.000657937
841.406,3.62475e-07,0.000678025
844.665,3.63723e-07,0.000663641
847.924,3.65304e-07,0.000669589
851.183,3.30948e-07,0.00040526
854.442,1.05387e-07,0.000406142
857.701,3.7971e-08,0.000651596
860.96,2.24554e-08,0.000858617
864.219,1.50243e-08,0.00105407
867.478,1.06067e-08,0.00125513
870.737,7.67241e-09,0.00146462
873.996,5.65997e-09,0.00169535
877.255,4.1997e-09,0.00194442
880.514,3.13382e-09,0.00222492
883.773,2.3613e-09,0.00252692
887.032,1.78074e-09,0.00287368
890.291,1.36501e-09,0.00324095
893.55,1.04449e-09,0.0036439
896.809,8.28138e-10,0.00409107
900.068,7.43738e-10,0.00427413
903.327,1.79096e-09,0.00269598
906.586,3.10946e-09,0.00221432
909.845,3.22048e-09,0.0021393
913.104,3.18894e-09,0.00213884
916.363,3.19123e-09,0.00214506
919.622,3.27845e-09,0.00230059
922.881,3.32912e-09,0.00229049
926.14,3.36064e-09,0.00225359
929.399,3.38535e-09,0.00222777
932.658,3.40266e-09,0.00220434
935.917,3.43176e-09,0.00218589
939.176,3.46206e-09,0.00216209
942.435,3.50552e-09,0.0021385
945.694,3.56637e-09,0.00196044
948.953,4.14301e-09,0.00148306
952.212,6.35886e-09,0.00132569
955.471,1.06837e-08,0.00128242
958.729,1.10171e-08,0.00122847
961.988,8.93214e-09,0.0012115
965.247,6.28913e-09,0.0012111
968.506,4.16207e-09,0.0012191
971.765,2.70163e-09,0.00123251
975.024,1.75277e-09,0.00124919
978.283,1.14852e-09,0.00126861
981.542,7.63019e-10,0.00128968
984.801,5.13555e-10,0.00131187
988.06,3.49274e-10,0.00133483
991.319,2.20919e-10,0.00136239
994.578,1.38853e-10,0.00139329
997.837,8.76231e-11,0.00142599
1001.096,5.53723e-11,0.00146058
1004.355,3.47043e-11,0.00149734
1007.614,2.18279e-11,0.00153501
1010.873,1.38168e-11,0.00157313
1014.132,8.85916e-12,0.00161107
1017.391,5.77405e-12,0.00164957
1020.65,3.76665e-12,0.00169116
1023.909,2.78504e-12,0.00172587
1027.168,2.05613e-12,0.00175239
1030.427,1.54894e-12,0.00177195
1033.686,1.16515e-12,0.00179205
1036.945,8.43238e-13,0.00181459
1040.204,5.97055e-13,0.0018367
1043.463,4.73653e-13,0.00185116
1046.722,3.78753e-13,0.00186455
1049.981,2.88381e-13,0.00187906
1053.24,1.9967e-13,0.00189573
1056.499,1.19337e-13,0.00192511
1059.758,7.17256e-14,0.00195965
1063.017,4.30945e-14,0.00199985
1066.276,2.58965e-14,0.0020452
1069.535,1.55707e-14,0.00209583
1072.794,9.3688e-15,0.00214954
1076.053,5.75753e-15,0.00219392
1079.312,2.96456e-15,0.00222749
1082.571,1.34668e-15,0.00225378
