Cells,Value,Error
16016,162.94,0.0244
16017,162.04,0.0244
16018,134.85,0.0244
16019,82.24,0.0244
16020,147.71,0.0244
16021,147.56,0.0244
16022,119.46,0.0244
16023,74.07,0.0244
16024,147.76,0.0244
16025,139.93,0.0244
16026,111.44,0.0244
16027,74.1,0.0244
16028,137.27,0.0244
16029,133.9,0.0244
16030,106.79,0.0244
16031,66.36,0.0244
16032,141.37,0.0244
16033,131.86,0.0244
16034,113.7,0.0244
16035,65.3,0.0244
16036,140.96,0.0244
16037,130.83,0.0244
16038,104.82,0.0244
16039,65.58,0.0244
16040,139.09,0.0244
16041,131.93,0.0244
16042,106.48,0.0244
16043,65.65,0.0244
16044,140.49,0.0244
16045,146.6,0.0244
16046,110.21,0.0244
16047,68.17,0.0244
16048,143.56,0.0244
16049,141.91,0.0244
16050,113.51,0.0244
16051,70.55,0.0244
16052,147.93,0.0244
16053,153.28,0.0244
16054,128.35,0.0244
16055,75.99,0.0244
16056,160.48,0.0244
16057,171.07,0.0244
16058,138.15,0.0244
16059,86.27,0.0244
16060,180.59,0.0244
16061,202.21,0.0244
16062,166.77,0.0244
16063,102.9,0.0244
