Value,Error,Energy,Offset
164.85423066545147,0.005847260947486794,5 - 10,20 cm
409.66142486712505,0.008518331563923585,10 - 20,20 cm
587.579801112189,0.009853946793234885,20 - 30,20 cm
630.2853298215803,0.011114715362513437,30 - 40,20 cm
805.3899258641079,0.00628244204248591,40 - 50,20 cm
12.652893408380573,0.020774797277930773,5 - 10,40 cm
34.51372815555571,0.02908353201833802,10 - 20,40 cm
45.30177478262374,0.03540381407477601,20 - 30,40 cm
49.11146809131864,0.04014760932836777,30 - 40,40 cm
30.03517500974932,0.031092931047380895,40 - 50,40 cm
