Energy,Value,Error,Offset
5 - 10,17.02012262004756,0.0006494489703525829,20 cm
10 - 20,53.05371698441902,0.0005207554628741631,20 cm
20 - 30,82.90425865989106,0.0006589215911550286,20 cm
30 - 40,127.90872376149116,0.0010872015146026,20 cm
40 - 50,219.8501922979946,0.0014950338197447532,20 cm
5 - 10,2.5145304639926467,0.0006990314158762503,40 cm
10 - 20,7.642924721564842,0.0004819834486860475,40 cm
20 - 30,11.587951229652443,0.0005876513887542468,40 cm
30 - 40,17.901154757257522,0.0008820854191338196,40 cm
40 - 50,18.809256827551703,0.001505530184783918,40 cm
