Energy,Value,Error,Offset
5 - 10,315.76916442829076,0.001939049821237105,on-axis
10 - 20,937.22024687466,0.001801233905461291,on-axis
20 - 30,1557.3803186445662,0.0019073989564625225,on-axis
30 - 40,2645.501559607202,0.0018390973506767516,on-axis
40 - 50,6201.132111274805,0.0013731835632457986,on-axis
5 - 10,101.54181765586848,0.003231740466960902,20 cm
10 - 20,224.9610561173443,0.0034384908517763346,20 cm
20 - 30,334.590201523144,0.003882551597238852,20 cm
30 - 40,647.11864053101,0.0036362583069895027,20 cm
40 - 50,669.4114009131135,0.003930290447732362,20 cm
5 - 10,24.2889707896677,0.0063332106447264655,40 cm
10 - 20,49.35314567704313,0.007089793948391926,40 cm
20 - 30,68.00731446907066,0.008275703923029905,40 cm
30 - 40,128.3299841137806,0.007953692997825617,40 cm
40 - 50,61.00913086178802,0.012490774254884214,40 cm
