Value,Error,Energy,Offset
330.0264200076641,0.00454868296393067,5 - 10,on-axis
1351.96131044413,0.005845156139350459,10 - 20,on-axis
2400.6422329850916,0.006102047154663886,20 - 30,on-axis
3961.665211139825,0.006008570287030623,30 - 40,on-axis
3676.2918920468483,0.0054287104991534,40 - 50,on-axis
3203.2777302591007,0.004319017511224035,50 - 60,on-axis
16776.080490479013,0.0018900106364751993,60 - 70,on-axis
103.3208486913638,0.00790435687107033,5 - 10,20 cm
366.0030823446552,0.010992718405849202,10 - 20,20 cm
573.905074408174,0.012073628135601948,20 - 30,20 cm
830.0797746864356,0.012814801840288314,30 - 40,20 cm
671.4639124546652,0.012379383895333045,40 - 50,20 cm
504.01771507744263,0.010561802935480391,50 - 60,20 cm
1392.128617577984,0.006472775234783861,60 - 70,20 cm
24.82686269643994,0.01562135971097245,5 - 10,40 cm
85.61244583064625,0.02212736344802256,10 - 20,40 cm
125.47188269332705,0.025159939127950583,20 - 30,40 cm
164.0811199569067,0.028079116395920693,30 - 40,40 cm
120.32535368480627,0.02841679153918748,40 - 50,40 cm
79.48915174679637,0.025699977202615226,50 - 60,40 cm
137.30466923176434,0.019643772502597957,60 - 70,40 cm
