Energy,Value,Error,Offset
6.0,0.8014429947158165,0.0038,on-axis
7.0,117.78086233771825,0.0041,on-axis
8.0,104.95509501206408,0.0046,on-axis
9.0,106.489019663166,0.005,on-axis
10.0,110.68757520012879,0.0052,on-axis
11.0,115.86380408337972,0.0054,on-axis
12.0,108.69567092504707,0.0057,on-axis
13.0,118.82681478983238,0.0058,on-axis
14.0,124.90235167681799,0.0059,on-axis
15.0,132.61587469555386,0.006,on-axis
16.0,142.74203743161098,0.006,on-axis
17.0,155.28558724052786,0.006,on-axis
18.0,166.44426184812676,0.006,on-axis
19.0,175.89733255310475,0.0061,on-axis
20.0,182.1031406059794,0.0062,on-axis
21.0,190.11536767509872,0.0062,on-axis
22.0,206.2256400619992,0.0062,on-axis
23.0,214.07250128353027,0.0062,on-axis
24.0,223.4620808923454,0.0062,on-axis
25.0,238.12334782360435,0.0062,on-axis
26.0,258.44762078610876,0.0061,on-axis
27.0,276.45758682176915,0.006,on-axis
28.0,294.77026198428456,0.006,on-axis
29.0,316.86468505037175,0.0059,on-axis
30.0,328.0469314912697,0.006,on-axis
31.0,339.526079786987,0.0061,on-axis
32.0,357.91703607519156,0.006,on-axis
33.0,376.01158017851657,0.006,on-axis
34.0,387.05705500873944,0.006,on-axis
35.0,406.284951063477,0.006,on-axis
36.0,420.90631448988154,0.006,on-axis
37.0,433.99070046783953,0.006,on-axis
38.0,448.5184182953291,0.006,on-axis
39.0,463.40614428259386,0.006,on-axis
40.0,473.0938795109121,0.006,on-axis
41.0,485.27469323649086,0.006,on-axis
42.0,503.90596572273864,0.006,on-axis
43.0,514.6427544176654,0.006,on-axis
44.0,532.5818436180136,0.006,on-axis
46.0,563.4602218548247,0.0042,on-axis
48.0,603.3325336862033,0.0042,on-axis
50.0,630.2680773530993,0.0042,on-axis
52.0,651.3879515692228,0.0042,on-axis
54.0,654.4034278458022,0.0043,on-axis
56.0,643.5968161705919,0.0044,on-axis
58.0,623.6214573203846,0.0045,on-axis
60.0,566.5345404758366,0.0048,on-axis
62.0,594.7272147602654,0.0047,on-axis
64.0,3457.0236207005582,0.0021,on-axis
66.0,9314.610015146061,0.0013,on-axis
68.0,2843.1850993962926,0.0024,on-axis
70.0,74.87735192853883,0.0152,on-axis
6.0,0.27786075649858044,0.0064,20 cm
7.0,38.248420354727564,0.007,20 cm
8.0,32.892265359279996,0.0081,20 cm
9.0,31.90230222085767,0.0088,20 cm
10.0,31.96026499088103,0.0094,20 cm
11.0,32.2530080869757,0.0099,20 cm
12.0,31.081337792439754,0.0106,20 cm
13.0,33.03136633987371,0.0108,20 cm
14.0,34.89125292264714,0.011,20 cm
15.0,36.186492114220556,0.0113,20 cm
16.0,37.615984333219,0.0115,20 cm
17.0,40.65509897056117,0.0115,20 cm
18.0,42.480535005731056,0.0116,20 cm
19.0,45.847741788106056,0.0116,20 cm
20.0,47.5321390273531,0.0117,20 cm
21.0,50.052506310892944,0.0118,20 cm
22.0,49.95312164635195,0.0121,20 cm
23.0,51.07941437376868,0.0123,20 cm
24.0,53.20724895947181,0.0123,20 cm
25.0,57.24928503531115,0.0122,20 cm
26.0,60.2719790117388,0.0122,20 cm
27.0,65.43027397966223,0.012,20 cm
28.0,67.40139637538248,0.0121,20 cm
29.0,71.72770968824076,0.012,20 cm
30.0,74.14085420175621,0.0123,20 cm
31.0,76.31300765204165,0.0126,20 cm
32.0,77.48191675846732,0.0127,20 cm
33.0,82.13434405245968,0.0126,20 cm
34.0,81.94730914093968,0.0128,20 cm
35.0,83.19471952876675,0.0129,20 cm
36.0,86.31218697502821,0.0129,20 cm
37.0,87.49707136991866,0.013,20 cm
38.0,90.39326779046159,0.013,20 cm
39.0,90.66509721659591,0.0132,20 cm
40.0,92.7201123200181,0.0132,20 cm
41.0,91.61161022232578,0.0134,20 cm
42.0,94.88515845679716,0.0134,20 cm
43.0,96.36217885550012,0.0135,20 cm
44.0,97.0498806540011,0.0136,20 cm
46.0,98.8507484489063,0.0098,20 cm
48.0,99.98422349711669,0.01,20 cm
50.0,99.27270942112374,0.0102,20 cm
52.0,100.31281136128042,0.0104,20 cm
54.0,97.69867399339546,0.0107,20 cm
56.0,100.76429429362875,0.0108,20 cm
58.0,105.96922600801427,0.0107,20 cm
60.0,92.73262858511359,0.0116,20 cm
62.0,127.69449907073543,0.0099,20 cm
64.0,459.1715810063669,0.0055,20 cm
66.0,618.3124610229935,0.0048,20 cm
68.0,94.21744789277453,0.0125,20 cm
70.0,2.0642802547054275,0.0851,20 cm
6.0,0.06755888149715553,0.0127,40 cm
7.0,9.489027240354373,0.0136,40 cm
8.0,7.74020235755551,0.0162,40 cm
9.0,7.530074217032902,0.0176,40 cm
10.0,7.187170594905405,0.019,40 cm
11.0,7.748049594661348,0.0197,40 cm
12.0,7.056801320052448,0.0215,40 cm
13.0,7.474772123404937,0.0219,40 cm
14.0,8.39615471746181,0.022,40 cm
15.0,8.051860837609366,0.0232,40 cm
16.0,8.9044339701402,0.0231,40 cm
17.0,9.738485491714021,0.0229,40 cm
18.0,10.455171161211096,0.0231,40 cm
19.0,10.59954601948562,0.0234,40 cm
20.0,10.263875742162904,0.0247,40 cm
21.0,11.529147515195747,0.024,40 cm
22.0,11.51798839031567,0.0248,40 cm
23.0,11.640618280893829,0.0253,40 cm
24.0,12.246586514416688,0.0251,40 cm
25.0,12.04108240610599,0.0258,40 cm
26.0,13.563190396896053,0.0251,40 cm
27.0,13.243075158942895,0.0256,40 cm
28.0,14.426312508308397,0.0253,40 cm
29.0,15.000005780088872,0.0256,40 cm
30.0,16.148080926711636,0.0259,40 cm
31.0,15.825001641551044,0.027,40 cm
32.0,15.511943044727337,0.028,40 cm
33.0,16.36356380567903,0.0273,40 cm
34.0,16.962637760982492,0.0274,40 cm
35.0,16.154528825527713,0.0285,40 cm
36.0,17.243055676763593,0.028,40 cm
37.0,17.195023316032543,0.0285,40 cm
38.0,17.015441569968573,0.0294,40 cm
39.0,15.661843388962714,0.0308,40 cm
40.0,17.683679419553794,0.0295,40 cm
41.0,16.7167406239127,0.0304,40 cm
42.0,16.51898113773097,0.0309,40 cm
43.0,17.353479311622966,0.0309,40 cm
44.0,18.29229285667251,0.0305,40 cm
46.0,17.01597318654562,0.0229,40 cm
48.0,16.744207148767718,0.0236,40 cm
50.0,16.188234008803857,0.0245,40 cm
52.0,15.400280908698027,0.0255,40 cm
54.0,15.903730361664977,0.0259,40 cm
56.0,16.86587113308874,0.0255,40 cm
58.0,15.131035334540774,0.0272,40 cm
60.0,15.012705166680844,0.0276,40 cm
62.0,27.599356205287695,0.0207,40 cm
64.0,56.481370739426076,0.0149,40 cm
66.0,35.30423926006094,0.0191,40 cm
68.0,2.9069978603087834,0.0673,40 cm
70.0,0.07419981937080977,0.4634,40 cm
