Energy,Value,Error,Offset
6.0,0.019756938404369005,0.0016,on-axis
7.0,2.431542957968325,0.0017,on-axis
8.0,2.2795463599778234,0.0017,on-axis
9.0,2.1991961623037137,0.0018,on-axis
10.0,2.184328717101383,0.0018,on-axis
11.0,2.2960086787085245,0.0019,on-axis
12.0,2.3343384167360988,0.002,on-axis
13.0,2.426354700444625,0.002,on-axis
14.0,2.594025911291184,0.002,on-axis
15.0,2.792085556787309,0.0019,on-axis
16.0,2.962571757608693,0.002,on-axis
17.0,3.141875269370568,0.002,on-axis
18.0,3.383001504230927,0.0021,on-axis
19.0,3.540352093242013,0.0021,on-axis
20.0,3.6631883805381964,0.0022,on-axis
21.0,3.7848817101479666,0.0023,on-axis
22.0,4.014744996343334,0.0023,on-axis
23.0,4.190902435041636,0.0023,on-axis
24.0,4.335542098297525,0.0023,on-axis
25.0,4.524325726131751,0.0023,on-axis
26.0,4.734003669804922,0.0023,on-axis
27.0,4.9231686615030625,0.0023,on-axis
28.0,5.107424586736218,0.0024,on-axis
29.0,5.310686545911777,0.0024,on-axis
30.0,5.48942425350681,0.0024,on-axis
31.0,5.668771100210686,0.0024,on-axis
32.0,5.868681548888353,0.0025,on-axis
33.0,6.039583436585883,0.0025,on-axis
34.0,6.24152446997511,0.0025,on-axis
35.0,6.439733076191402,0.0025,on-axis
36.0,6.629506075397922,0.0025,on-axis
37.0,6.777443517595427,0.0026,on-axis
38.0,6.930639251637719,0.0026,on-axis
39.0,7.0962290036986975,0.0026,on-axis
40.0,7.251496658554428,0.0027,on-axis
41.0,7.405777713100605,0.0027,on-axis
42.0,7.615545479710294,0.0027,on-axis
43.0,7.856952480737017,0.0028,on-axis
44.0,8.16680881108199,0.0028,on-axis
46.0,8.578669954702926,0.0023,on-axis
48.0,9.030133502108763,0.0025,on-axis
50.0,9.302583189843267,0.0027,on-axis
52.0,9.266991106957777,0.0029,on-axis
54.0,9.137281481939711,0.0032,on-axis
56.0,9.02403791837655,0.0035,on-axis
58.0,9.600322866505651,0.0034,on-axis
60.0,11.90709510472241,0.003,on-axis
62.0,15.048236236702884,0.0028,on-axis
64.0,57.338413750462024,0.0026,on-axis
66.0,125.86159368082534,0.002,on-axis
68.0,29.046831822095427,0.0043,on-axis
70.0,0.8090373494838046,0.0261,on-axis
