Cor A,Value,Error
830.0,5.0515e-10,0.000199468
833.26,0.0,0.0
836.52,0.0,0.0
839.78,0.0,0.0
843.04,0.0,0.0
846.29,0.0,0.0
849.55,0.0,0.0
852.81,2.50547e-08,0.000124843
856.07,2.29814e-08,0.000245432
859.33,1.3255e-08,0.00021666
862.59,1.05347e-08,0.000209278
865.85,8.91212e-09,0.000212889
869.11,7.69825e-09,0.000221306
872.37,6.73121e-09,0.000232328
875.63,5.92439e-09,0.000245142
878.88,5.23642e-09,0.000259555
882.14,4.64289e-09,0.00027552
885.4,4.13007e-09,0.000293592
888.66,3.69257e-09,0.000314871
891.92,3.32553e-09,0.000340451
895.18,3.03202e-09,0.000373353
898.44,2.82528e-09,0.000418434
901.7,2.73916e-09,0.00048459
904.96,1.56949e-09,0.000558943
908.22,1.6126e-10,0.00057428
911.47,1.28927e-10,0.000576989
914.73,1.05868e-10,0.00057991
917.99,8.85897e-11,0.00058419
921.25,3.51861e-11,0.000608597
924.51,1.96781e-11,0.000626047
927.77,1.88512e-11,0.000625873
931.03,1.80465e-11,0.00062511
934.29,1.72662e-11,0.00062483
937.55,1.65135e-11,0.000624738
940.81,1.57977e-11,0.000627492
944.06,1.5112e-11,0.000629489
947.32,3.87412e-11,0.000609495
950.58,7.40578e-11,0.000591785
953.84,5.27986e-11,0.000588679
957.1,2.68457e-10,0.000537865
960.36,1.29013e-10,0.000608352
963.62,4.70239e-11,0.000782799
966.88,1.7792e-11,0.00108421
970.14,7.06669e-12,0.00160953
973.39,3.08583e-12,0.00248476
976.65,1.44722e-12,0.0037055
979.91,7.33176e-13,0.00514212
983.17,4.10059e-13,0.00656564
986.43,2.4866e-13,0.00777945
989.69,1.57489e-13,0.00870264
992.95,7.97629e-14,0.00943771
996.21,5.69394e-14,0.00980383
999.47,4.04546e-14,0.0100923
1002.73,3.14346e-14,0.0103128
1005.98,2.22792e-14,0.0105632
1009.24,1.45822e-14,0.0108107
1012.5,9.49057e-15,0.0110292
1015.76,5.27911e-15,0.0112631
1019.02,3.80922e-15,0.0113614
1022.28,2.69285e-15,0.0114661
1025.54,2.94093e-15,0.0115129
1028.8,1.62074e-15,0.0117235
1032.06,1.03714e-15,0.0118589
1035.32,8.06271e-16,0.0119423
1038.57,7.09455e-16,0.0120118
1041.83,3.53579e-16,0.0121841
1045.09,2.98537e-16,0.0122298
1048.35,2.33619e-16,0.0123014
1051.61,1.91454e-16,0.0123706
1054.87,8.70415e-17,0.0125249
1058.13,5.62939e-17,0.0125889
1061.39,3.60716e-17,0.0126506
1064.65,2.47957e-17,0.0126894
1067.91,1.69731e-17,0.0127323
1071.16,1.15929e-17,0.0127693
1074.42,7.93369e-18,0.0128082
1077.68,6.06312e-18,0.0128304
1080.94,1.41335e-18,0.0131561
1084.2,8.22399e-19,0.0131949
