Cor A,Value,Error
830.0,2.37823e-07,0.000200935
833.26,3.75382e-07,0.000288331
836.52,3.76371e-07,0.000289019
839.78,3.77548e-07,0.000289554
843.04,3.7871e-07,0.000291675
846.29,3.80005e-07,0.000291936
849.55,3.81659e-07,0.000294302
852.81,3.44343e-07,0.00018009
856.07,1.06101e-07,0.000182084
859.33,3.64257e-08,0.000294073
862.59,2.12042e-08,0.000389444
865.85,1.4131e-08,0.000479291
869.11,9.97098e-09,0.000569326
872.37,7.24264e-09,0.000662879
875.63,5.34527e-09,0.000764481
878.88,3.98987e-09,0.000875904
882.14,3.00343e-09,0.000997674
885.4,2.27872e-09,0.00112996
888.66,1.73519e-09,0.00128057
891.92,1.33123e-09,0.0014392
895.18,1.02983e-09,0.00161749
898.44,8.21955e-10,0.00179189
901.7,7.58393e-10,0.00186094
904.96,1.9947e-09,0.0011287
908.22,3.50395e-09,0.000934226
911.47,3.57555e-09,0.000909111
914.73,3.48828e-09,0.000909382
917.99,3.45672e-09,0.000912622
921.25,3.58379e-09,0.000975705
924.51,3.64329e-09,0.000969517
927.77,3.67928e-09,0.000954753
931.03,3.70939e-09,0.000943636
934.29,3.73673e-09,0.000933349
937.55,3.77348e-09,0.000924576
940.81,3.81503e-09,0.000915209
944.06,3.86728e-09,0.000904369
947.32,3.96345e-09,0.000828794
950.58,4.70246e-09,0.000630177
953.84,7.36965e-09,0.000566929
957.1,1.24611e-08,0.000549968
960.36,1.29005e-08,0.000527892
963.62,1.04921e-08,0.000520622
966.88,7.38452e-09,0.000519901
970.14,4.87259e-09,0.000522677
973.39,3.14433e-09,0.000527615
976.65,2.02417e-09,0.000534004
979.91,1.31475e-09,0.000541434
983.17,8.65009e-10,0.000549713
986.43,5.76398e-10,0.000558566
989.69,3.88018e-10,0.00056786
992.95,2.42426e-10,0.000579235
996.21,1.50446e-10,0.000592313
999.47,9.37782e-11,0.000606525
1002.73,5.85484e-11,0.000622013
1005.98,3.62626e-11,0.000638914
1009.24,2.25494e-11,0.000656708
1012.5,1.41203e-11,0.000675193
1015.76,8.96443e-12,0.000693996
1019.02,5.78782e-12,0.000713511
1022.28,3.74108e-12,0.000735094
1025.54,2.74654e-12,0.000753286
1028.8,2.01628e-12,0.000767492
1032.06,1.51032e-12,0.000777733
1035.32,1.12872e-12,0.000788115
1038.57,8.10616e-13,0.000799685
1041.83,5.69906e-13,0.000811388
1045.09,4.49917e-13,0.000818862
1048.35,3.57989e-13,0.000825693
1051.61,2.70819e-13,0.000832905
1054.87,1.86139e-13,0.000841443
1058.13,1.09977e-13,0.00085661
1061.39,6.54544e-14,0.000875484
1064.65,3.8986e-14,0.000898416
1067.91,2.32412e-14,0.000925314
1071.16,1.38713e-14,0.000955971
1074.42,8.28852e-15,0.000989028
1077.68,5.05997e-15,0.00101593
1080.94,2.58154e-15,0.00103407
1084.2,1.16132e-15,0.00104628
