Time,Value,Error
6.26952,0.0,0.0
6.30888,0.0,0.0
6.34824,0.0,0.0
6.3876,0.0,0.0
6.42696,0.0,0.0
6.46632,0.0,0.0
6.50568,0.0,0.0
6.54504,0.0,0.0
6.5844,0.0,0.0
6.62376,0.0,0.0
6.66312,1.670604674796736e-15,0.5978
6.70248,3.1024898373983516e-12,0.1089
6.74184,3.333053861788669e-10,0.0112
6.7812,7.4484247967479135e-09,0.0057
6.82056,1.622614329268281e-08,0.0026
6.85992,9.763541666666817e-09,0.0063
6.89928,5.840548780487762e-09,0.0138
6.93864,4.314811991869888e-09,0.0113
6.978,3.3770579268293203e-09,0.0175
7.01736,2.833536585365833e-09,0.0185
7.05672,2.366460873983723e-09,0.0151
7.09608,1.8928760162601918e-09,0.0165
7.13544,1.5833561991869805e-09,0.0198
7.1748,1.3274136178861694e-09,0.0175
7.21416,1.1286255081300986e-09,0.017
7.25352,1.0258155487804803e-09,0.0284
7.29288,8.679751016260099e-10,0.0279
7.33224,7.557672764227758e-10,0.0228
7.3716,7.074415650406453e-10,0.0431
7.41096,6.294410569105646e-10,0.0441
7.45032,5.615675813008216e-10,0.053
7.48968,6.157291666666622e-10,0.0869
7.52904,5.7977896341463e-10,0.162
7.5684,4.671239837398445e-10,0.0746
7.60776,5.410746951219473e-10,0.1049
7.80456,4.297931910569094e-10,0.0505
8.00136,4.0827235772357796e-10,0.0674
8.19816,4.694456300813017e-10,0.0691
8.39496,5.277794715447164e-10,0.0586
8.59176,4.4387906504064723e-10,0.0501
8.78856,3.772728658536592e-10,0.0434
8.98536,4.0302032520325277e-10,0.0439
9.18216,3.403201219512201e-10,0.0386
9.37896,3.1977337398374044e-10,0.0394
9.57576,3.032225609756075e-10,0.0572
9.77256,3.2100813008130136e-10,0.0474
9.96936,3.203460365853664e-10,0.0826
10.1662,3.107153017679335e-10,0.059
10.363,2.908475609756103e-10,0.0364
10.5598,2.8261432926829317e-10,0.0333
10.7566,2.908216463414613e-10,0.0388
10.9534,3.1960213414634207e-10,0.0649
11.1502,2.9072154471544766e-10,0.0394
11.347,2.9432317073170787e-10,0.0328
11.5438,2.9885010162601683e-10,0.0326
11.7406,3.0873628048780266e-10,0.0356
11.9374,3.247505081300819e-10,0.0392
12.1342,3.2706453252032583e-10,0.0244
12.331,3.602672764227649e-10,0.0414
12.5278,3.3456605691056974e-10,0.0257
12.7246,3.701620934959323e-10,0.0305
12.9214,3.629085365853665e-10,0.0256
13.1182,3.9450914634146416e-10,0.0257
13.315,4.2257774390243983e-10,0.0247
13.5118,4.3442174796748047e-10,0.0222
13.7086,4.642865853658503e-10,0.0216
13.9054,4.858932926829277e-10,0.0196
14.1022,5.038780487804887e-10,0.0241
14.299,5.199441056910579e-10,0.0229
14.4958,5.408180894308953e-10,0.0254
14.6926,5.263313008130044e-10,0.0195
14.8894,5.480030487804888e-10,0.0198
15.0862,5.695121951219523e-10,0.0268
15.283,5.704420731707328e-10,0.0205
15.4798,5.627184959349604e-10,0.0191
15.6766,5.858028455284511e-10,0.0216
15.8734,6.313262195121962e-10,0.0225
16.0702,6.685518292682939e-10,0.0235
16.267,6.856453252032533e-10,0.0185
16.4638,7.450863821138225e-10,0.028
16.6606,7.294766260162615e-10,0.0171
16.8574,7.406351626016274e-10,0.0177
17.0542,7.530030487804756e-10,0.0193
17.251,7.853455284552859e-10,0.0189
17.4478,7.913668699187007e-10,0.0251
17.6446,7.977794715447169e-10,0.0229
17.8414,8.373577235772372e-10,0.032
18.0382,8.361890243902453e-10,0.0241
18.235,8.464684959349609e-10,0.0171
18.4318,8.861788617886194e-10,0.0168
18.6286,8.868699186991886e-10,0.0156
18.8254,9.509705284552863e-10,0.033
19.0222,9.896747967479515e-10,0.0277
19.219,9.336280487804895e-10,0.0216
19.4158,9.38887195121953e-10,0.0314
19.6126,8.663617886178878e-10,0.014
19.8094,8.767987804878065e-10,0.0193
20.0062,8.576575203252047e-10,0.0164
20.203,8.411737804878064e-10,0.0153
20.3998,8.042682926829283e-10,0.0134
20.5966,8.336077235772373e-10,0.0226
20.7934,8.176168699187006e-10,0.019
20.9902,8.087652439024258e-10,0.0182
21.187,7.715650406504079e-10,0.0172
21.3838,7.875152439024404e-10,0.0195
21.5806,7.512652439024404e-10,0.0173
21.7774,7.647103658536599e-10,0.0175
21.9742,7.55955284552847e-10,0.0173
22.171,7.856351626016274e-10,0.0228
22.3678,7.761483739837413e-10,0.015
22.5646,7.76549796747969e-10,0.0153
22.7614,7.736941056910584e-10,0.0162
22.9582,7.466819105690935e-10,0.0131
23.155,7.495477642276436e-10,0.0148
23.3518,7.028607723577248e-10,0.014
23.5486,6.799390243902451e-10,0.0131
23.7454,6.740701219512208e-10,0.0203
23.9422,6.44852642276424e-10,0.0175
24.139,6.202388211382125e-10,0.0177
24.3358,5.995020325203264e-10,0.0187
24.5326,5.730487804878059e-10,0.0426
24.7294,5.311229674796757e-10,0.0196
24.9262,5.188922764227558e-10,0.0225
25.123,4.796224593495944e-10,0.0184
25.3198,4.743765243902447e-10,0.0251
25.5166,4.210391260162609e-10,0.0195
25.7134,3.898658536585373e-10,0.0191
25.9102,3.9021443089430965e-10,0.0261
26.107,3.595508130081307e-10,0.0234
26.3038,3.147997967479681e-10,0.0223
26.5006,3.0223526422764283e-10,0.0291
26.6974,2.8368953252032576e-10,0.0302
26.8942,2.533419715447113e-10,0.032
27.091,2.4525101626016306e-10,0.0376
27.2878,2.0125304878048818e-10,0.0315
27.4846,2.288724593495939e-10,0.0654
