Cells,Value,Error
Blanket_outboard_t3_1,0.51798,0.0002
Blanket_outboard_t3_2,0.381632,0.0002
Blanket_outboard_t3_3,0.381676,0.0002
Blanket_outboard_b2_1,0.377865,0.0002
Blanket_outboard_b2_2,0.281021,0.0002
Blanket_outboard_b2_3,0.281286,0.0002
Blanket_outboard_m2_1,0.62954,0.0002
Blanket_outboard_m2_2,0.628131,0.0002
Blanket_outboard_m3_1,0.605067,0.0002
Blanket_outboard_m3_2,0.604074,0.0002
Blanket_outboard_t4,0.327117,0.0002
Blanket_outboard_b1,0.327753,0.0002
Blanket_t1_1,0.147327,0.0003
Blanket_t1_2,0.147374,0.0003
Blanket_outboard_t2_1,0.18172,0.0003
Blanket_outboard_t2_2,0.146848,0.0003
Blanket_outboard_t2_3,0.146884,0.0003
Blanket_outboard_m1_1,0.169638,0.0003
Blanket_outboard_m1_2,0.169483,0.0003
Blanket_outboard_m4_1,0.170655,0.0003
Blanket_outboard_m4_2,0.170499,0.0003
Blanket_inboard_m_1,0.426152,0.0002
Blanket_inboard_m_2,0.263553,0.0002
Blanket_inboard_m_3,0.263544,0.0002
Blanket_inboard_b1_1,0.19088,0.0003
Blanket_inboard_b1_2,0.133777,0.0003
Blanket_inboard_b1_3,0.133846,0.0003
Blanket_inboard_t2_1,0.0574473,0.0004
Blanket_inboard_t2_2,0.0458474,0.0005
Blanket_inboard_t2_3,0.0459233,0.0005
Blanket_inboard_t4_1,0.182091,0.0003
Blanket_inboard_t4_2,0.126573,0.0003
Blanket_inboard_t4_3,0.126552,0.0003
Blanket_inboard_t3_1,0.100806,0.0003
Blanket_inboard_t3_2,0.0762442,0.0004
Blanket_inboard_t3_3,0.0762143,0.0004
Blanket_inboard_b2_1,0.0712075,0.0004
Blanket_inboard_b2_2,0.0541678,0.0005
Blanket_inboard_b2_3,0.0541722,0.0005
Blanket_t1_3,0.0173691,0.0007
