Cells,Energy,Value,Error
PF_coil_1,1e-07,3.0449e-11,0.0051
PF_coil_1,4.14e-07,1.03461e-10,0.0034
PF_coil_1,5.316e-07,3.16125e-11,0.0046
PF_coil_1,6.826e-07,3.66504e-11,0.0043
PF_coil_1,8.764e-07,4.23016e-11,0.0041
PF_coil_1,1.125e-06,4.76208e-11,0.0038
PF_coil_1,1.445e-06,5.36779e-11,0.0036
PF_coil_1,1.855e-06,5.97213e-11,0.0035
PF_coil_1,2.382e-06,6.50993e-11,0.0034
PF_coil_1,3.059e-06,7.12558e-11,0.0033
PF_coil_1,3.928e-06,7.60817e-11,0.0032
PF_coil_1,5.043e-06,8.1731e-11,0.0031
PF_coil_1,6.476e-06,8.73876e-11,0.0031
PF_coil_1,8.315e-06,9.16551e-11,0.003
PF_coil_1,1.068e-05,9.68691e-11,0.003
PF_coil_1,1.371e-05,9.98621e-11,0.003
PF_coil_1,1.76e-05,1.0338e-10,0.003
PF_coil_1,2.26e-05,1.0651e-10,0.003
PF_coil_1,2.902e-05,1.08169e-10,0.003
PF_coil_1,3.727e-05,1.08131e-10,0.003
PF_coil_1,4.785e-05,1.05674e-10,0.0029
PF_coil_1,6.144e-05,1.27883e-10,0.0028
PF_coil_1,7.889e-05,1.30257e-10,0.0028
PF_coil_1,0.0001013,1.32804e-10,0.0028
PF_coil_1,0.0001301,1.33554e-10,0.0028
PF_coil_1,0.000167,1.3316e-10,0.0028
PF_coil_1,0.0002145,1.45798e-10,0.0028
PF_coil_1,0.0002754,1.50778e-10,0.0027
PF_coil_1,0.0003536,1.01609e-10,0.0028
PF_coil_1,0.000454,1.152e-10,0.0029
PF_coil_1,0.0005829,1.33874e-10,0.0029
PF_coil_1,0.0007485,1.59831e-10,0.0028
PF_coil_1,0.0009611,1.71468e-10,0.0028
PF_coil_1,0.001234,1.62483e-10,0.0028
PF_coil_1,0.001585,2.02806e-10,0.0027
PF_coil_1,0.002035,2.17299e-10,0.0026
PF_coil_1,0.002249,3.96644e-11,0.0032
PF_coil_1,0.002485,5.02881e-11,0.0031
PF_coil_1,0.002613,1.81847e-11,0.004
PF_coil_1,0.002747,2.53379e-11,0.004
PF_coil_1,0.003035,7.16685e-11,0.0033
PF_coil_1,0.003355,7.95489e-11,0.0032
PF_coil_1,0.003707,8.10381e-11,0.0032
PF_coil_1,0.004307,1.01187e-10,0.0029
PF_coil_1,0.005531,1.72695e-10,0.0026
PF_coil_1,0.007102,1.81041e-10,0.0026
PF_coil_1,0.009119,1.33857e-10,0.0027
PF_coil_1,0.01059,1.10109e-10,0.003
PF_coil_1,0.01171,8.25947e-11,0.0033
PF_coil_1,0.01503,1.98634e-10,0.0027
PF_coil_1,0.0193,1.8038e-10,0.0028
PF_coil_1,0.02187,1.23322e-10,0.0032
PF_coil_1,0.02358,1.00852e-10,0.0035
PF_coil_1,0.02418,3.80077e-11,0.0049
PF_coil_1,0.02479,4.97116e-11,0.0046
PF_coil_1,0.02606,5.94969e-11,0.0037
PF_coil_1,0.027,3.29367e-11,0.0043
PF_coil_1,0.0285,1.55659e-11,0.0039
PF_coil_1,0.03183,5.54444e-11,0.0034
PF_coil_1,0.03431,5.66273e-11,0.0037
PF_coil_1,0.04087,1.57114e-10,0.003
PF_coil_1,0.04631,1.36701e-10,0.0032
PF_coil_1,0.05248,1.43092e-10,0.0032
PF_coil_1,0.05656,7.00744e-11,0.0036
PF_coil_1,0.06738,2.01107e-10,0.0029
PF_coil_1,0.07202,1.02783e-10,0.0036
PF_coil_1,0.0795,1.1733e-10,0.0033
PF_coil_1,0.0825,6.78397e-11,0.0042
PF_coil_1,0.08652,3.56431e-11,0.0043
PF_coil_1,0.09804,1.4221e-10,0.0032
PF_coil_1,0.1111,1.48231e-10,0.0032
PF_coil_1,0.1168,8.14057e-11,0.004
PF_coil_1,0.1228,9.23064e-11,0.0038
PF_coil_1,0.1291,9.50116e-11,0.0038
PF_coil_1,0.1357,1.02403e-10,0.0038
PF_coil_1,0.1426,5.14953e-11,0.0041
PF_coil_1,0.15,5.04276e-11,0.0041
PF_coil_1,0.1576,6.9154e-11,0.004
PF_coil_1,0.1657,7.43763e-11,0.004
PF_coil_1,0.1742,7.08265e-11,0.0041
PF_coil_1,0.1832,8.92128e-11,0.0039
PF_coil_1,0.1925,6.08513e-11,0.0043
PF_coil_1,0.2024,5.86419e-11,0.0042
PF_coil_1,0.2128,6.76879e-11,0.0041
PF_coil_1,0.2237,7.64847e-11,0.0041
PF_coil_1,0.2352,7.54172e-11,0.0041
PF_coil_1,0.2472,7.80254e-11,0.0041
PF_coil_1,0.2732,1.86875e-10,0.0033
PF_coil_1,0.2872,7.2221e-11,0.0043
PF_coil_1,0.2945,4.26382e-11,0.0052
PF_coil_1,0.2972,1.91471e-11,0.0079
PF_coil_1,0.2985,8.88611e-12,0.0111
PF_coil_1,0.302,2.57502e-11,0.007
PF_coil_1,0.3337,1.62254e-10,0.0035
PF_coil_1,0.3688,1.58821e-10,0.0036
PF_coil_1,0.3877,7.36316e-11,0.0046
PF_coil_1,0.4076,5.1095e-11,0.0049
PF_coil_1,0.4505,1.03691e-10,0.0039
PF_coil_1,0.4979,1.27557e-10,0.0039
PF_coil_1,0.5234,6.70424e-11,0.0049
PF_coil_1,0.5502,6.77312e-11,0.0049
PF_coil_1,0.5784,7.27441e-11,0.0049
PF_coil_1,0.6081,8.02578e-11,0.005
PF_coil_1,0.6393,6.69945e-11,0.0054
PF_coil_1,0.6721,6.07168e-11,0.0057
PF_coil_1,0.7065,5.35898e-11,0.0061
PF_coil_1,0.7427,4.10585e-11,0.0067
PF_coil_1,0.7808,3.2145e-11,0.0072
PF_coil_1,0.8209,3.20271e-11,0.0072
PF_coil_1,0.8629,3.36292e-11,0.0077
PF_coil_1,0.9072,2.85144e-11,0.0081
PF_coil_1,0.9617,3.28338e-11,0.0081
PF_coil_1,1.003,1.6735e-11,0.0099
PF_coil_1,1.108,4.103e-11,0.0077
PF_coil_1,1.165,2.00443e-11,0.0102
PF_coil_1,1.225,1.87545e-11,0.0107
PF_coil_1,1.287,1.25381e-11,0.0124
PF_coil_1,1.353,1.18693e-11,0.0126
PF_coil_1,1.423,1.08588e-11,0.0136
PF_coil_1,1.496,8.24027e-12,0.0152
PF_coil_1,1.572,7.67226e-12,0.0157
PF_coil_1,1.653,7.63878e-12,0.0164
PF_coil_1,1.738,7.28161e-12,0.0167
PF_coil_1,1.827,6.37472e-12,0.0178
PF_coil_1,1.921,4.8508e-12,0.0195
PF_coil_1,2.019,4.42776e-12,0.0208
PF_coil_1,2.122,4.1186e-12,0.0215
PF_coil_1,2.231,3.94053e-12,0.022
PF_coil_1,2.307,2.63797e-12,0.0261
PF_coil_1,2.346,1.17185e-12,0.0372
PF_coil_1,2.365,6.48029e-13,0.0501
PF_coil_1,2.385,6.19105e-13,0.0503
PF_coil_1,2.466,1.97176e-12,0.03
PF_coil_1,2.592,2.62206e-12,0.027
PF_coil_1,2.725,2.69061e-12,0.0266
PF_coil_1,2.865,2.12915e-12,0.0287
PF_coil_1,3.012,2.03083e-12,0.0309
PF_coil_1,3.166,1.7104e-12,0.0322
PF_coil_1,3.329,1.63681e-12,0.034
PF_coil_1,3.679,2.88892e-12,0.0269
PF_coil_1,4.066,2.20548e-12,0.0298
PF_coil_1,4.493,2.07767e-12,0.0313
PF_coil_1,4.724,9.62338e-13,0.0456
PF_coil_1,4.966,8.16684e-13,0.0474
PF_coil_1,5.22,8.43528e-13,0.047
PF_coil_1,5.488,7.61944e-13,0.0478
PF_coil_1,5.77,6.64226e-13,0.0521
PF_coil_1,6.065,6.28584e-13,0.0533
PF_coil_1,6.376,6.38031e-13,0.0537
PF_coil_1,6.592,3.76677e-13,0.0692
PF_coil_1,6.703,2.04296e-13,0.094
PF_coil_1,7.047,5.72568e-13,0.0566
PF_coil_1,7.408,5.45143e-13,0.0624
PF_coil_1,7.788,5.15969e-13,0.0592
PF_coil_1,8.187,5.37861e-13,0.0631
PF_coil_1,8.607,5.33736e-13,0.0611
PF_coil_1,9.048,5.53705e-13,0.0609
PF_coil_1,9.512,6.65525e-13,0.0571
PF_coil_1,10.0,5.31474e-13,0.0642
PF_coil_1,10.51,5.44651e-13,0.0619
PF_coil_1,11.05,6.12909e-13,0.0568
PF_coil_1,11.62,6.07033e-13,0.0573
PF_coil_1,12.21,9.47287e-13,0.0453
PF_coil_1,12.52,7.49846e-13,0.0533
PF_coil_1,12.84,8.16072e-13,0.0507
PF_coil_1,13.5,3.29041e-12,0.0275
PF_coil_1,13.84,1.88793e-12,0.0348
PF_coil_1,14.19,8.77832e-13,0.0498
PF_coil_1,14.55,0.0,0.0
PF_coil_1,14.92,0.0,0.0
PF_coil_1,15.68,0.0,0.0
PF_coil_1,16.49,0.0,0.0
PF_coil_1,16.9,0.0,0.0
PF_coil_1,17.33,0.0,0.0
PF_coil_1,19.64,0.0,0.0
PF_coil_2,1e-07,1.638e-11,0.0069
PF_coil_2,4.14e-07,5.61401e-11,0.0047
PF_coil_2,5.316e-07,1.71822e-11,0.0062
PF_coil_2,6.826e-07,1.98781e-11,0.0058
PF_coil_2,8.764e-07,2.27556e-11,0.0055
PF_coil_2,1.125e-06,2.58332e-11,0.0052
PF_coil_2,1.445e-06,2.92762e-11,0.0049
PF_coil_2,1.855e-06,3.21057e-11,0.0047
PF_coil_2,2.382e-06,3.50618e-11,0.0046
PF_coil_2,3.059e-06,3.78179e-11,0.0044
PF_coil_2,3.928e-06,4.07658e-11,0.0043
PF_coil_2,5.043e-06,4.35442e-11,0.0042
PF_coil_2,6.476e-06,4.61693e-11,0.0042
PF_coil_2,8.315e-06,4.84207e-11,0.0041
PF_coil_2,1.068e-05,5.09343e-11,0.0041
PF_coil_2,1.371e-05,5.24419e-11,0.0041
PF_coil_2,1.76e-05,5.4037e-11,0.0041
PF_coil_2,2.26e-05,5.54146e-11,0.0041
PF_coil_2,2.902e-05,5.62956e-11,0.0041
PF_coil_2,3.727e-05,5.63559e-11,0.0041
PF_coil_2,4.785e-05,5.45931e-11,0.004
PF_coil_2,6.144e-05,6.6252e-11,0.0039
PF_coil_2,7.889e-05,6.73181e-11,0.0039
PF_coil_2,0.0001013,6.8258e-11,0.0039
PF_coil_2,0.0001301,6.82084e-11,0.0039
PF_coil_2,0.000167,6.82507e-11,0.0039
PF_coil_2,0.0002145,7.41041e-11,0.0039
PF_coil_2,0.0002754,7.58088e-11,0.0038
PF_coil_2,0.0003536,5.08715e-11,0.0039
PF_coil_2,0.000454,5.85481e-11,0.0041
PF_coil_2,0.0005829,6.76992e-11,0.0041
PF_coil_2,0.0007485,8.01719e-11,0.004
PF_coil_2,0.0009611,8.57108e-11,0.004
PF_coil_2,0.001234,8.04666e-11,0.004
PF_coil_2,0.001585,1.00158e-10,0.0039
PF_coil_2,0.002035,1.06162e-10,0.0037
PF_coil_2,0.002249,1.93611e-11,0.0046
PF_coil_2,0.002485,2.44251e-11,0.0045
PF_coil_2,0.002613,8.85568e-12,0.0058
PF_coil_2,0.002747,1.22863e-11,0.0057
PF_coil_2,0.003035,3.49314e-11,0.0047
PF_coil_2,0.003355,3.85249e-11,0.0046
PF_coil_2,0.003707,3.91142e-11,0.0045
PF_coil_2,0.004307,4.88359e-11,0.0042
PF_coil_2,0.005531,8.34698e-11,0.0038
PF_coil_2,0.007102,8.69187e-11,0.0038
PF_coil_2,0.009119,6.44665e-11,0.0039
PF_coil_2,0.01059,5.3165e-11,0.0043
PF_coil_2,0.01171,3.98547e-11,0.0047
PF_coil_2,0.01503,9.61614e-11,0.0039
PF_coil_2,0.0193,8.72351e-11,0.004
PF_coil_2,0.02187,6.02369e-11,0.0046
PF_coil_2,0.02358,4.87806e-11,0.005
PF_coil_2,0.02418,1.86033e-11,0.0069
