Cells,Value,Error
Blanket_outboard_t3_1,4.65724e-06,0.0001
Blanket_outboard_t3_2,4.51151e-06,0.0002
Blanket_outboard_t3_3,4.51095e-06,0.0002
Blanket_outboard_b2_1,5.41778e-06,0.0002
Blanket_outboard_b2_2,5.34437e-06,0.0002
Blanket_outboard_b2_3,5.34715e-06,0.0002
Blanket_outboard_m2_1,5.62698e-06,0.0001
Blanket_outboard_m2_2,5.61866e-06,0.0001
Blanket_outboard_m3_1,5.62904e-06,0.0001
Blanket_outboard_m3_2,5.6225e-06,0.0001
Blanket_outboard_t4,5.7747e-06,0.0002
Blanket_outboard_b1,6.0592e-06,0.0002
Blanket_t1_1,3.31468e-06,0.0003
Blanket_t1_2,3.3153e-06,0.0003
Blanket_outboard_t2_1,3.31878e-06,0.0002
Blanket_outboard_t2_2,3.5136e-06,0.0003
Blanket_outboard_t2_3,3.51424e-06,0.0003
Blanket_outboard_m1_1,4.14112e-06,0.0002
Blanket_outboard_m1_2,4.13908e-06,0.0002
Blanket_outboard_m4_1,4.40883e-06,0.0002
Blanket_outboard_m4_2,4.40851e-06,0.0002
Blanket_inboard_m_1,7.92279e-06,0.0002
Blanket_inboard_m_2,6.30237e-06,0.0002
Blanket_inboard_m_3,6.30274e-06,0.0002
Blanket_inboard_b1_1,4.88226e-06,0.0002
Blanket_inboard_b1_2,4.39757e-06,0.0003
Blanket_inboard_b1_3,4.39767e-06,0.0003
Blanket_inboard_t2_1,2.05509e-06,0.0004
Blanket_inboard_t2_2,2.1268e-06,0.0004
Blanket_inboard_t2_3,2.12913e-06,0.0004
Blanket_inboard_t4_1,5.27124e-06,0.0002
Blanket_inboard_t4_2,4.70153e-06,0.0003
Blanket_inboard_t4_3,4.70253e-06,0.0003
Blanket_inboard_t3_1,3.19312e-06,0.0003
Blanket_inboard_t3_2,3.09325e-06,0.0003
Blanket_inboard_t3_3,3.09225e-06,0.0003
Blanket_inboard_b2_1,3.25894e-06,0.0003
Blanket_inboard_b2_2,3.17424e-06,0.0004
Blanket_inboard_b2_3,3.1726e-06,0.0004
Blanket_t1_3,2.44829e-06,0.0006
