Cells,Value,Error
Blanket_outboard_t3_1,2.17218e-06,0.0001
Blanket_outboard_t3_2,2.09455e-06,0.0002
Blanket_outboard_t3_3,2.09426e-06,0.0002
Blanket_outboard_b2_1,2.56796e-06,0.0002
Blanket_outboard_b2_2,2.49478e-06,0.0002
Blanket_outboard_b2_3,2.4967e-06,0.0002
Blanket_outboard_m2_1,2.71766e-06,0.0001
Blanket_outboard_m2_2,2.71222e-06,0.0001
Blanket_outboard_m3_1,2.70307e-06,0.0001
Blanket_outboard_m3_2,2.69869e-06,0.0001
Blanket_outboard_t4,2.87276e-06,0.0002
Blanket_outboard_b1,2.99802e-06,0.0002
Blanket_t1_1,1.53511e-06,0.0003
Blanket_t1_2,1.53523e-06,0.0003
Blanket_outboard_t2_1,1.53138e-06,0.0002
Blanket_outboard_t2_2,1.61777e-06,0.0003
Blanket_outboard_t2_3,1.61779e-06,0.0003
Blanket_outboard_m1_1,1.94193e-06,0.0002
Blanket_outboard_m1_2,1.94029e-06,0.0002
Blanket_outboard_m4_1,2.03393e-06,0.0002
Blanket_outboard_m4_2,2.03297e-06,0.0002
Blanket_inboard_m_1,3.87064e-06,0.0002
Blanket_inboard_m_2,3.04006e-06,0.0002
Blanket_inboard_m_3,3.04025e-06,0.0002
Blanket_inboard_b1_1,2.2792e-06,0.0002
Blanket_inboard_b1_2,2.0323e-06,0.0003
Blanket_inboard_b1_3,2.03316e-06,0.0003
Blanket_inboard_t2_1,8.88992e-07,0.0004
Blanket_inboard_t2_2,9.05677e-07,0.0004
Blanket_inboard_t2_3,9.06784e-07,0.0004
Blanket_inboard_t4_1,2.5147e-06,0.0002
Blanket_inboard_t4_2,2.22348e-06,0.0003
Blanket_inboard_t4_3,2.22331e-06,0.0003
Blanket_inboard_t3_1,1.42714e-06,0.0003
Blanket_inboard_t3_2,1.37676e-06,0.0003
Blanket_inboard_t3_3,1.37649e-06,0.0003
Blanket_inboard_b2_1,1.33366e-06,0.0003
Blanket_inboard_b2_2,1.29333e-06,0.0004
Blanket_inboard_b2_3,1.29395e-06,0.0004
Blanket_t1_3,1.20791e-06,0.0006
