Cells,Value,Error
1,4.0894e-06,0.0005
2,1.60879e-06,0.0008
3,6.61949e-07,0.0011
4,2.64411e-07,0.0015
5,8.38913e-08,0.0017
6,2.48374e-08,0.0019
7,9.18099e-09,0.0027
8,2.64e-09,0.0033
9,8.93456e-10,0.0027
10,3.69491e-10,0.0035
