Cor A,Value,Error
830.0,4.23638e-07,0.000389352
833.26,6.4256e-07,0.000475855
836.52,6.39757e-07,0.000473539
839.78,6.37489e-07,0.000472202
843.04,6.35995e-07,0.000472932
846.29,6.34967e-07,0.000475496
849.55,6.34787e-07,0.000476958
852.81,5.78961e-07,0.000354033
856.07,4.52699e-07,0.000359801
859.33,3.44609e-07,0.000400421
862.59,2.88702e-07,0.000407324
865.85,2.4279e-07,0.000411227
869.11,2.01678e-07,0.000439058
872.37,1.66057e-07,0.000477257
875.63,1.35869e-07,0.000523254
878.88,1.10653e-07,0.000576067
882.14,9.01906e-08,0.00063583
885.4,7.39372e-08,0.000705516
888.66,6.13727e-08,0.000790764
891.92,5.22652e-08,0.000910113
895.18,4.75053e-08,0.00102682
898.44,4.55714e-08,0.00100851
901.7,4.37927e-08,0.00100753
904.96,4.21542e-08,0.00101102
908.22,4.05859e-08,0.00101622
911.47,3.90927e-08,0.00102317
914.73,3.76864e-08,0.00103177
917.99,3.63249e-08,0.00104167
921.25,3.5016e-08,0.00104774
924.51,3.37965e-08,0.00104846
927.77,3.26258e-08,0.00105141
931.03,3.14979e-08,0.00105565
934.29,3.04008e-08,0.00106033
937.55,2.93365e-08,0.00106636
940.81,2.82833e-08,0.00107272
944.06,2.72616e-08,0.00108051
947.32,2.59847e-08,0.00108086
950.58,2.07426e-08,0.00106644
953.84,1.47932e-08,0.00107388
957.1,1.12838e-08,0.00107857
960.36,7.02352e-09,0.00109106
963.62,3.42573e-09,0.00114199
966.88,1.5736e-09,0.00122677
970.14,7.25658e-10,0.00136545
973.39,3.51989e-10,0.00157517
976.65,1.83939e-10,0.00185353
979.91,1.04124e-10,0.00216417
983.17,6.3175e-11,0.00246873
986.43,4.05141e-11,0.00274269
989.69,2.70033e-11,0.00298103
992.95,1.76965e-11,0.00319399
996.21,1.2269e-11,0.00335218
999.47,8.62487e-12,0.0034791
1002.73,6.04459e-12,0.00359218
1005.98,4.18124e-12,0.00369514
1009.24,2.85848e-12,0.00379128
1012.5,1.93887e-12,0.00388264
1015.76,1.30674e-12,0.00396899
1019.02,8.77944e-13,0.00404872
1022.28,5.87963e-13,0.00412248
1025.54,4.39117e-13,0.00418463
1028.8,2.87565e-13,0.00426519
1032.06,1.83264e-13,0.00435569
1035.32,1.2505e-13,0.00444105
1038.57,8.57328e-14,0.0045277
1041.83,5.75091e-14,0.00461138
1045.09,4.19203e-14,0.00468053
1048.35,3.10196e-14,0.00475532
1051.61,2.25122e-14,0.004837
1054.87,1.48227e-14,0.00492835
1058.13,1.05513e-14,0.00500345
1061.39,7.80279e-15,0.00505324
1064.65,5.6845e-15,0.00509619
1067.91,4.06796e-15,0.00513893
1071.16,2.87375e-15,0.00518442
1074.42,2.02178e-15,0.00522573
1077.68,1.41741e-15,0.00526422
1080.94,8.64306e-16,0.00530087
1084.2,4.51674e-16,0.00532937
