Energy,Value,Error,Position
0.3713,1.3233530841161737e-05,0.001,Pos A
0.3895,9.657362637362641e-06,0.0036,Pos A
0.4092,8.999543147208124e-06,0.0036,Pos A
0.4295,8.520788177339907e-06,0.0037,Pos A
0.4503,8.069663461538468e-06,0.0037,Pos A
0.4706,8.051477832512298e-06,0.0038,Pos A
0.4924,7.529036697247711e-06,0.0038,Pos A
0.5148,3.014928571428567e-05,0.0022,Pos A
0.5377,4.903013100436698e-06,0.0047,Pos A
0.56,4.675784753363209e-06,0.0049,Pos A
0.584,4.408333333333349e-06,0.0049,Pos A
0.6084,4.1215573770491655e-06,0.0051,Pos A
0.6334,3.909476000000014e-06,0.0052,Pos A
0.6578,3.960045081967199e-06,0.0053,Pos A
0.6838,3.769907692307705e-06,0.0052,Pos A
0.7103,3.6478867924528194e-06,0.0053,Pos A
0.7374,3.7916236162361604e-06,0.0053,Pos A
0.7639,3.851283018867929e-06,0.0052,Pos A
0.792,4.0955516014234854e-06,0.005,Pos A
0.8206,3.550629370629376e-06,0.0053,Pos A
0.8497,8.089587628865975e-06,0.0035,Pos A
0.9084,2.88436115843271e-06,0.0042,Pos A
0.9391,2.2902410423452724e-06,0.0065,Pos A
0.9703,2.174775641025641e-06,0.0068,Pos A
1.002,2.0879053627760284e-06,0.0068,Pos A
1.034,2.0398281249999985e-06,0.007,Pos A
1.067,1.903884848484853e-06,0.0071,Pos A
1.101,1.8720705882352925e-06,0.0071,Pos A
1.135,1.8627029411764689e-06,0.0072,Pos A
1.169,1.908138235294116e-06,0.0072,Pos A
1.204,2.052825714285719e-06,0.0069,Pos A
1.24,2.187333333333331e-06,0.0066,Pos A
1.277,1.7425027027027065e-06,0.0073,Pos A
1.314,1.7235621621621554e-06,0.0074,Pos A
1.35,1.916805555555554e-06,0.0071,Pos A
1.389,1.4758128205128234e-06,0.0078,Pos A
1.427,1.5391999999999987e-06,0.0078,Pos A
1.466,2.309758974358979e-06,0.0063,Pos A
1.506,1.252822499999999e-06,0.0085,Pos A
1.547,1.2716902439024413e-06,0.0084,Pos A
1.588,1.3811756097560927e-06,0.0082,Pos A
1.63,1.2183833333333386e-06,0.0086,Pos A
1.672,1.168792857142856e-06,0.0089,Pos A
1.715,1.3441790697674372e-06,0.0082,Pos A
1.759,1.4948545454545516e-06,0.0078,Pos A
1.803,1.2672545454545444e-06,0.0084,Pos A
1.848,1.471159999999995e-06,0.0078,Pos A
1.893,1.2014666666666686e-06,0.0087,Pos A
1.939,1.0422413043478253e-06,0.0093,Pos A
1.986,1.1254127659574484e-06,0.009,Pos A
2.034,1.0761145833333373e-06,0.0091,Pos A
2.082,1.0526145833333324e-06,0.0092,Pos A
2.13,1.1165541666666658e-06,0.009,Pos A
2.18,9.675159999999948e-07,0.0094,Pos A
2.231,5.3361960784314026e-06,0.0041,Pos A
2.281,8.757639999999953e-07,0.0102,Pos A
2.333,8.416249999999992e-07,0.0104,Pos A
2.386,7.683811320754726e-07,0.0107,Pos A
2.438,7.642865384615378e-07,0.011,Pos A
2.492,7.70192592592595e-07,0.0108,Pos A
2.546,8.550481481481509e-07,0.0103,Pos A
2.601,8.306472727272703e-07,0.0103,Pos A
2.657,7.18176785714285e-07,0.0111,Pos A
2.713,7.22001785714285e-07,0.0113,Pos A
2.771,7.008293103448296e-07,0.0111,Pos A
2.829,6.522189655172383e-07,0.0114,Pos A
2.888,6.678881355932236e-07,0.0115,Pos A
2.947,6.926694915254218e-07,0.0114,Pos A
3.007,6.76266666666666e-07,0.0114,Pos A
3.069,6.107403225806468e-07,0.0118,Pos A
3.129,5.854533333333328e-07,0.0122,Pos A
3.192,6.099444444444428e-07,0.0116,Pos A
3.255,6.038555555555582e-07,0.0117,Pos A
3.32,6.050723076923081e-07,0.0118,Pos A
3.385,5.856307692307696e-07,0.0121,Pos A
3.451,6.133106060606035e-07,0.0121,Pos A
3.517,5.999590909090923e-07,0.0119,Pos A
3.584,5.639925373134314e-07,0.0121,Pos A
3.652,5.814558823529406e-07,0.0119,Pos A
3.722,5.653128571428584e-07,0.0121,Pos A
3.791,5.185028985507251e-07,0.0127,Pos A
3.861,5.117457142857122e-07,0.0128,Pos A
3.934,5.092630136986305e-07,0.0124,Pos A
4.005,4.6689859154929753e-07,0.0132,Pos A
4.078,4.3376849315068254e-07,0.0134,Pos A
4.153,4.4656266666667087e-07,0.0132,Pos A
4.227,5.007067567567518e-07,0.0125,Pos A
4.304,4.459480519480522e-07,0.0133,Pos A
4.38,4.161592105263179e-07,0.0137,Pos A
4.458,6.160923076923054e-07,0.0114,Pos A
4.536,3.942602564102594e-07,0.0139,Pos A
4.616,3.790349999999997e-07,0.0139,Pos A
4.696,3.8158749999999963e-07,0.0142,Pos A
4.777,4.0620864197530664e-07,0.0139,Pos A
4.859,3.655463414634153e-07,0.0139,Pos A
4.943,3.6221190476190633e-07,0.0139,Pos A
5.026,4.261132530120472e-07,0.0131,Pos A
5.111,3.652223529411766e-07,0.014,Pos A
5.198,3.743034482758594e-07,0.014,Pos A
5.285,3.886689655172425e-07,0.0132,Pos A
5.373,3.2106704545454517e-07,0.0147,Pos A
5.462,3.4883146067415917e-07,0.0143,Pos A
5.552,4.2950222222222295e-07,0.0123,Pos A
5.643,4.61910989010988e-07,0.012,Pos A
5.735,6.159260869565183e-07,0.0103,Pos A
5.828,2.453860215053764e-07,0.0165,Pos A
5.922,3.5376063829787454e-07,0.0136,Pos A
6.017,4.957905263157861e-07,0.0117,Pos A
6.113,3.70277083333333e-07,0.0133,Pos A
6.21,2.3310206185567123e-07,0.0166,Pos A
6.309,2.135151515151511e-07,0.0171,Pos A
6.408,4.999929292929283e-07,0.0112,Pos A
6.508,2.980650000000011e-07,0.0145,Pos A
6.61,2.104519607843131e-07,0.017,Pos A
6.713,1.5007864077669938e-07,0.0192,Pos A
6.817,1.2544230769230758e-07,0.0222,Pos A
6.922,1.6005714285714356e-07,0.02,Pos A
7.028,1.238971698113209e-07,0.022,Pos A
7.135,2.3921121495327056e-07,0.0157,Pos A
7.244,2.4367431192660553e-07,0.0155,Pos A
7.353,9.027605504587158e-07,0.0079,Pos A
7.464,1.8373333333333225e-07,0.0178,Pos A
7.576,2.0877946428571576e-07,0.0163,Pos A
7.69,1.7738771929824442e-06,0.0054,Pos A
7.805,2.3405913043478396e-08,0.0474,Pos A
7.921,4.6969568965517025e-08,0.034,Pos A
8.037,7.101612068965484e-08,0.0269,Pos A
8.155,1.544050847457646e-08,0.0714,Pos A
8.275,1.2702916666666561e-08,0.0778,Pos A
8.396,2.0832644628099098e-08,0.059,Pos A
8.519,1.238373983739844e-07,0.0211,Pos A
8.642,4.8788455284553105e-08,0.0336,Pos A
8.766,7.62538709677416e-09,0.0867,Pos A
8.891,1.898096e-07,0.017,Pos A
9.018,1.494677165354323e-07,0.018,Pos A
9.146,3.879085937499996e-09,0.1088,Pos A
9.275,2.904248062015514e-08,0.0382,Pos A
9.406,4.2791297709923586e-08,0.0355,Pos A
9.537,3.649106870229001e-09,0.1327,Pos A
9.67,3.297473684210548e-08,0.0377,Pos A
9.804,9.507313432835796e-08,0.0222,Pos A
9.938,1.3265298507462653e-09,0.1646,Pos A
10.07,2.1412878787878842e-08,0.0459,Pos A
10.21,2.286178571428562e-09,0.1816,Pos A
10.35,1.1885357142857245e-09,0.2015,Pos A
10.49,9.248357142857105e-10,0.2198,Pos A
