Energy,Value,Error,Position
0.02477,0.00016346669424088293,0.0012,Pos A
0.02608,3.160068702290079e-05,0.008,Pos A
0.02744,1.0088014705882353e-05,0.0118,Pos A
0.02889,1.7490758620689656e-06,0.0155,Pos A
0.03041,3.86828947368421e-06,0.0143,Pos A
0.03201,6.12590000000001e-06,0.0131,Pos A
0.0337,7.5623076923076745e-06,0.0123,Pos A
0.03547,8.100790960451973e-06,0.0121,Pos A
0.03734,8.109946524064186e-06,0.0119,Pos A
0.03931,8.355786802030458e-06,0.0117,Pos A
0.04138,9.021932367149748e-06,0.0111,Pos A
0.04355,9.387741935483879e-06,0.0108,Pos A
0.04584,1.0189781659388644e-05,0.0102,Pos A
0.04825,1.0171576763485467e-05,0.01,Pos A
0.0508,6.668352941176479e-06,0.0115,Pos A
0.05347,4.906516853932586e-06,0.0126,Pos A
0.05629,6.755744680851057e-06,0.0111,Pos A
0.05925,7.67493243243244e-06,0.0105,Pos A
0.06237,7.900673076923065e-06,0.0101,Pos A
0.06564,5.222507645259936e-06,0.0115,Pos A
0.0691,6.168641618497126e-06,0.0107,Pos A
0.07274,8.144752747252738e-06,0.0094,Pos A
0.07657,4.411279373368146e-06,0.0117,Pos A
0.0806,8.042158808932991e-06,0.009,Pos A
0.08484,8.132240566037747e-06,0.0087,Pos A
0.0893,4.391995515695061e-06,0.0106,Pos A
0.094,5.446063829787239e-06,0.0097,Pos A
0.09896,3.462641129032254e-06,0.0113,Pos A
0.1041,3.7225486381323014e-06,0.011,Pos A
0.1097,4.398624999999994e-06,0.0101,Pos A
0.1154,4.74664912280702e-06,0.0098,Pos A
0.1215,5.88624590163935e-06,0.0087,Pos A
0.1278,5.676301587301588e-06,0.0086,Pos A
0.1346,6.8054264705882345e-06,0.0076,Pos A
0.1417,5.906774647887328e-06,0.0079,Pos A
0.1492,2.352333333333331e-06,0.0106,Pos A
0.157,4.1888076923076915e-06,0.0087,Pos A
0.1653,4.0813012048192764e-06,0.0086,Pos A
0.174,4.218540229885064e-06,0.0084,Pos A
0.1831,5.642538461538446e-06,0.0072,Pos A
0.1928,3.6358453608247473e-06,0.0084,Pos A
0.2029,2.9822574257425746e-06,0.0089,Pos A
0.2136,3.286028037383173e-06,0.0085,Pos A
0.2248,3.750437500000004e-06,0.0079,Pos A
0.2367,3.294327731092439e-06,0.0082,Pos A
0.2491,3.181370967741937e-06,0.0082,Pos A
0.2622,3.3470992366412216e-06,0.0079,Pos A
0.276,4.525485507246366e-06,0.0067,Pos A
0.2906,2.3026095890410956e-06,0.0087,Pos A
0.3058,4.331947368421055e-06,0.0065,Pos A
0.322,4.138944444444447e-06,0.0064,Pos A
0.3389,2.6162189349112473e-06,0.0076,Pos A
0.3567,4.370022471910103e-06,0.006,Pos A
0.3755,3.3164255319148965e-06,0.0065,Pos A
0.3953,2.999393939393942e-06,0.0066,Pos A
0.416,2.2878695652173916e-06,0.0072,Pos A
0.438,2.2987909090909073e-06,0.007,Pos A
0.461,2.3699608695652153e-06,0.0069,Pos A
0.4853,2.45369547325103e-06,0.0067,Pos A
0.5108,2.4357529411764686e-06,0.0066,Pos A
0.5377,2.3934014869888546e-06,0.0066,Pos A
0.566,2.3081307420494704e-06,0.0065,Pos A
0.5958,2.5929429530201298e-06,0.0061,Pos A
0.6272,2.7926496815286636e-06,0.0057,Pos A
0.6601,2.721489361702124e-06,0.0057,Pos A
0.6949,2.289103448275866e-06,0.0059,Pos A
0.7315,2.272308743169394e-06,0.0058,Pos A
0.77,1.8285558441558452e-06,0.0062,Pos A
0.8105,1.5121629629629638e-06,0.0066,Pos A
0.8532,1.6137751756440294e-06,0.0065,Pos A
0.898,1.4932120535714266e-06,0.0066,Pos A
0.9453,1.3839260042283297e-06,0.0067,Pos A
0.9951,1.3076586345381538e-06,0.0066,Pos A
1.048,1.2062079395085053e-06,0.0067,Pos A
1.103,1.1822636363636377e-06,0.0067,Pos A
1.16,1.2181543859649135e-06,0.0065,Pos A
1.222,1.1989870967741924e-06,0.0064,Pos A
1.286,9.162218749999992e-07,0.007,Pos A
1.353,8.890776119402992e-07,0.0069,Pos A
1.425,8.270819444444437e-07,0.0071,Pos A
1.5,6.944586666666671e-07,0.0076,Pos A
1.579,6.515417721518991e-07,0.0076,Pos A
1.662,6.126867469879521e-07,0.0076,Pos A
1.749,6.027482758620677e-07,0.0077,Pos A
1.842,5.236247311827958e-07,0.008,Pos A
1.938,4.371812500000006e-07,0.0085,Pos A
2.041,3.9762330097087387e-07,0.0087,Pos A
2.12,3.785658227848093e-07,0.0099,Pos A
2.203,3.5916506024096497e-07,0.0102,Pos A
2.287,3.543749999999997e-07,0.0104,Pos A
2.37,3.2200843373493903e-07,0.011,Pos A
2.456,2.9753023255814e-07,0.0111,Pos A
2.54,2.5649642857142834e-07,0.0119,Pos A
2.627,2.3075747126436848e-07,0.0124,Pos A
2.713,2.2716627906976665e-07,0.0126,Pos A
2.8,2.155241379310351e-07,0.013,Pos A
2.887,1.8636206896551686e-07,0.0137,Pos A
2.975,1.727136363636362e-07,0.014,Pos A
3.063,1.844386363636362e-07,0.0141,Pos A
3.153,1.5814888888888912e-07,0.0149,Pos A
3.242,1.4478651685393264e-07,0.0156,Pos A
3.333,1.329681318681316e-07,0.016,Pos A
3.423,1.2744222222222242e-07,0.0161,Pos A
3.514,1.2100989010989045e-07,0.0166,Pos A
3.606,1.1446630434782599e-07,0.0169,Pos A
3.698,1.0914239130434774e-07,0.0174,Pos A
3.791,1.0185731182795702e-07,0.0177,Pos A
3.884,9.958032258064519e-08,0.0184,Pos A
3.977,1.0193311827956993e-07,0.0185,Pos A
4.071,1.0146372340425548e-07,0.0186,Pos A
4.166,9.858084210526249e-08,0.0189,Pos A
4.261,9.665463157894763e-08,0.0192,Pos A
4.356,8.573610526315812e-08,0.0205,Pos A
4.453,8.657525773195838e-08,0.0199,Pos A
4.549,8.557781249999993e-08,0.0209,Pos A
4.646,8.49616494845365e-08,0.0209,Pos A
4.743,7.95250515463914e-08,0.0215,Pos A
4.84,7.771814432989728e-08,0.0223,Pos A
4.939,7.309606060606045e-08,0.0226,Pos A
5.038,7.344686868686854e-08,0.0219,Pos A
5.137,6.932111111111159e-08,0.0229,Pos A
5.237,6.932549999999962e-08,0.0233,Pos A
5.337,6.778160000000025e-08,0.024,Pos A
5.437,6.379349999999966e-08,0.0246,Pos A
5.539,6.352137254901997e-08,0.0247,Pos A
5.64,5.981534653465348e-08,0.0248,Pos A
5.741,6.045089108910893e-08,0.0259,Pos A
5.844,5.713174757281517e-08,0.0265,Pos A
5.947,5.495019417475741e-08,0.0265,Pos A
6.05,5.419291262135935e-08,0.0264,Pos A
6.154,5.2089519230769184e-08,0.0271,Pos A
6.258,5.0318749999999956e-08,0.0272,Pos A
6.363,4.637999999999982e-08,0.0278,Pos A
6.468,5.055847619047641e-08,0.0271,Pos A
6.573,5.252333333333312e-08,0.0283,Pos A
6.679,5.290443396226422e-08,0.0279,Pos A
6.785,5.209056603773591e-08,0.0285,Pos A
6.892,4.787728971962607e-08,0.0288,Pos A
6.999,4.847252336448629e-08,0.0293,Pos A
7.106,5.0815140186915787e-08,0.029,Pos A
7.214,4.860916666666642e-08,0.0297,Pos A
7.322,4.439027777777792e-08,0.0303,Pos A
7.431,4.1701834862385325e-08,0.0308,Pos A
7.54,4.1037155963302756e-08,0.03,Pos A
7.649,4.249504587155964e-08,0.0311,Pos A
