Energy,Value,Error,Position
0.3713,1.6789873422243432e-08,0.0016,Pos B
0.3895,1.2484725274725279e-08,0.0055,Pos B
0.4092,1.1778527918781729e-08,0.0055,Pos B
0.4295,1.1055862068965526e-08,0.0056,Pos B
0.4503,1.0434086538461545e-08,0.0057,Pos B
0.4706,1.0451724137931013e-08,0.0058,Pos B
0.4924,9.794174311926612e-09,0.0058,Pos B
0.5148,3.9564419642857085e-08,0.0033,Pos B
0.5377,6.2527074235808075e-09,0.0072,Pos B
0.56,5.993139013452888e-09,0.0075,Pos B
0.584,5.6030000000000205e-09,0.0075,Pos B
0.6084,5.181188524590145e-09,0.0077,Pos B
0.6334,4.962520000000018e-09,0.0079,Pos B
0.6578,4.975450819672113e-09,0.008,Pos B
0.6838,4.773730769230786e-09,0.008,Pos B
0.7103,4.552603773584892e-09,0.0082,Pos B
0.7374,4.818560885608854e-09,0.0079,Pos B
0.7639,4.815584905660384e-09,0.008,Pos B
0.792,5.398469750889677e-09,0.0074,Pos B
0.8206,4.425874125874132e-09,0.0081,Pos B
0.8497,1.0208591065292091e-08,0.0054,Pos B
0.9084,3.57054514480409e-09,0.0065,Pos B
0.9391,2.8840553745928284e-09,0.0099,Pos B
0.9703,2.7577820512820507e-09,0.0102,Pos B
1.002,2.6837823343848624e-09,0.0102,Pos B
1.034,2.570849999999998e-09,0.0105,Pos B
1.067,2.4586454545454606e-09,0.0107,Pos B
1.101,2.40405882352941e-09,0.0107,Pos B
1.135,2.305720588235292e-09,0.0109,Pos B
1.169,2.356370588235292e-09,0.0109,Pos B
1.204,2.5264600000000058e-09,0.0103,Pos B
1.24,2.630458333333331e-09,0.01,Pos B
1.277,2.1136486486486533e-09,0.0111,Pos B
1.314,2.148143243243235e-09,0.0111,Pos B
1.35,2.3506638888888867e-09,0.0106,Pos B
1.389,1.854305128205132e-09,0.0118,Pos B
1.427,1.9284578947368404e-09,0.0117,Pos B
1.466,2.770948717948723e-09,0.0096,Pos B
1.506,1.6232124999999985e-09,0.0125,Pos B
1.547,1.6112658536585395e-09,0.0125,Pos B
1.588,1.6872512195121893e-09,0.0123,Pos B
1.63,1.5463285714285782e-09,0.0128,Pos B
1.672,1.4887190476190465e-09,0.0132,Pos B
1.715,1.669899999999994e-09,0.0122,Pos B
1.759,1.8190750000000076e-09,0.0115,Pos B
1.803,1.5766727272727258e-09,0.0124,Pos B
1.848,1.8032088888888829e-09,0.0116,Pos B
1.893,1.4938844444444467e-09,0.013,Pos B
1.939,1.2908804347826074e-09,0.0138,Pos B
1.986,1.4009914893617042e-09,0.0131,Pos B
2.034,1.3685291666666717e-09,0.0133,Pos B
2.082,1.3139624999999988e-09,0.0135,Pos B
2.13,1.3806437499999986e-09,0.0131,Pos B
2.18,1.2154779999999936e-09,0.0141,Pos B
2.231,2.4324705882353077e-09,0.01,Pos B
2.281,1.1792199999999938e-09,0.0143,Pos B
2.333,1.1433576923076913e-09,0.0141,Pos B
2.386,1.012069811320756e-09,0.0151,Pos B
2.438,1.0443634615384606e-09,0.015,Pos B
2.492,1.037329629629633e-09,0.0148,Pos B
2.546,1.116735185185189e-09,0.0142,Pos B
2.601,1.1082090909090875e-09,0.0141,Pos B
2.657,9.877499999999992e-10,0.0153,Pos B
2.713,9.768321428571419e-10,0.015,Pos B
2.771,9.311862068965545e-10,0.0152,Pos B
2.829,8.844206896551683e-10,0.0159,Pos B
2.888,8.87805084745767e-10,0.0159,Pos B
2.947,9.318067796610144e-10,0.0156,Pos B
3.007,8.798316666666659e-10,0.0153,Pos B
3.069,8.068193548387118e-10,0.0161,Pos B
3.129,8.006999999999993e-10,0.0168,Pos B
3.192,8.308126984126962e-10,0.0163,Pos B
3.255,7.82803174603178e-10,0.0163,Pos B
3.32,7.863969230769237e-10,0.0162,Pos B
3.385,7.903230769230776e-10,0.0162,Pos B
3.451,7.901303030302997e-10,0.0162,Pos B
3.517,7.584272727272746e-10,0.0163,Pos B
3.584,7.41492537313431e-10,0.0165,Pos B
3.652,7.571294117647052e-10,0.0165,Pos B
3.722,7.304700000000017e-10,0.0169,Pos B
3.791,7.321217391304353e-10,0.0172,Pos B
3.861,6.542928571428544e-10,0.0177,Pos B
3.934,6.673123287671238e-10,0.0171,Pos B
4.005,6.068084507042277e-10,0.0182,Pos B
4.078,5.973287671232845e-10,0.0183,Pos B
4.153,6.015946666666723e-10,0.0179,Pos B
4.227,6.601310810810745e-10,0.0174,Pos B
4.304,5.832597402597406e-10,0.0177,Pos B
4.38,5.575315789473712e-10,0.0187,Pos B
4.458,6.567410256410232e-10,0.0179,Pos B
4.536,5.187833333333373e-10,0.0188,Pos B
4.616,5.137337499999995e-10,0.0186,Pos B
4.696,5.264612499999995e-10,0.0194,Pos B
4.777,5.28908641975306e-10,0.0188,Pos B
4.859,5.120158536585375e-10,0.019,Pos B
4.943,4.806428571428593e-10,0.019,Pos B
5.026,5.339771084337337e-10,0.0184,Pos B
5.111,4.900470588235297e-10,0.0205,Pos B
5.198,4.99147126436778e-10,0.0193,Pos B
5.285,5.014609195402314e-10,0.0185,Pos B
5.373,4.2068636363636325e-10,0.0203,Pos B
5.462,4.5578314606741816e-10,0.0195,Pos B
5.552,5.843833333333343e-10,0.0171,Pos B
5.643,5.875659340659328e-10,0.0167,Pos B
5.735,7.96222826086952e-10,0.0143,Pos B
5.828,3.2536344086021513e-10,0.0227,Pos B
5.922,4.5094787234042834e-10,0.0187,Pos B
6.017,6.571347368421008e-10,0.0156,Pos B
6.113,4.915781249999996e-10,0.018,Pos B
6.21,2.6160000000000125e-10,0.0257,Pos B
6.309,2.887696969696964e-10,0.0233,Pos B
6.408,6.495969696969684e-10,0.0157,Pos B
6.508,3.873100000000014e-10,0.0198,Pos B
6.61,2.798362745098031e-10,0.0235,Pos B
6.713,2.0449902912621408e-10,0.0266,Pos B
6.817,1.7862596153846136e-10,0.0304,Pos B
6.922,1.8914285714285796e-10,0.0285,Pos B
7.028,1.7310943396226434e-10,0.0314,Pos B
7.135,3.0926168224299005e-10,0.0217,Pos B
7.244,3.1431559633027525e-10,0.0221,Pos B
7.353,1.159330275229358e-09,0.0112,Pos B
7.464,2.275216216216203e-10,0.0242,Pos B
7.576,2.6812142857143045e-10,0.0232,Pos B
7.69,2.2569912280701603e-09,0.0078,Pos B
7.805,3.3135478260869755e-11,0.0669,Pos B
7.921,6.058741379310317e-11,0.0465,Pos B
8.037,9.326034482758576e-11,0.0359,Pos B
8.155,1.7364745762712076e-11,0.0892,Pos B
8.275,1.5215749999999873e-11,0.1004,Pos B
8.396,2.6065785123966848e-11,0.0723,Pos B
8.519,1.591203252032529e-10,0.0298,Pos B
8.642,6.238073170731741e-11,0.0478,Pos B
8.766,1.0219596774193502e-11,0.119,Pos B
8.891,2.254176e-10,0.0247,Pos B
9.018,1.948842519685029e-10,0.0255,Pos B
9.146,4.200976562499996e-12,0.1603,Pos B
9.275,3.668255813953501e-11,0.052,Pos B
9.406,4.9074656488549534e-11,0.046,Pos B
9.537,3.5940763358778563e-12,0.1552,Pos B
9.67,4.4015187969925104e-11,0.0551,Pos B
9.804,1.2694477611940266e-10,0.0303,Pos B
9.938,1.4225597014925337e-12,0.2232,Pos B
10.07,3.0794545454545535e-11,0.0658,Pos B
10.21,1.1619999999999953e-12,0.2508,Pos B
10.35,9.30600000000008e-13,0.2996,Pos B
10.49,9.100071428571392e-13,0.2793,Pos B
